類型代號	公司代號	公司名稱	基金統編	基金名稱	幣別	淨值	前一日淨值	漲跌
AA1	A0001	兆豐國際投信	00965469	兆豐國際第一基金	TWD	10.4	10.43	-0.03
AB1	A0001	兆豐國際投信	00971976	兆豐國際萬全基金	TWD	14.75	14.82	-0.07
AA2	A0001	兆豐國際投信	00992769	兆豐國際全球基金	TWD	29.81	29.83	-0.02
AA1	A0001	兆豐國際投信	01050148	兆豐國際國民基金	TWD	21.4	21.48	-0.08
AA1	A0001	兆豐國際投信	10341837	兆豐國際豐台灣基金	TWD	25.41	25.45	-0.04
AA2	A0001	兆豐國際投信	14699772	兆豐國際生命科學基金	TWD	14.54	14.7	-0.16
AD1	A0001	兆豐國際投信	18044796	兆豐國際寶鑽貨幣市場基金	TWD	12.2069	12.2067	0.0002
AA2	A0001	兆豐國際投信	25600852	兆豐國際巨龍領航基金	TWD	8.34	8.27	0.07
AA2	A0001	兆豐國際投信	25637773	兆豐國際綠鑽基金	TWD	7.93	7.99	-0.06
AA2	A0001	兆豐國際投信	26278352	兆豐國際全球高股息基金	TWD	8.99	9.04	-0.05
AA2	A0001	兆豐國際投信	26299315	兆豐國際民生動力基金	TWD	9.83	9.92	-0.09
AE22	A0001	兆豐國際投信	31829638A	兆豐國際全球債券組合基金A(累積型)	TWD	9.96	9.97	-0.01
AE22	A0001	兆豐國際投信	31829638B	兆豐國際全球債券組合基金B(月配型)	TWD	9.96	9.97	-0.01
AC23	A0001	兆豐國際投信	31923107A	兆豐國際新興市場高收益債券基金A(累積型)	TWD	9.3258	9.3476	-0.0218
AC23	A0001	兆豐國際投信	31923107B	兆豐國際新興市場高收益債券基金B(月配型)	TWD	9.1632	9.1846	-0.0214
AA1	A0001	兆豐國際投信	73991751	兆豐國際電子基金	TWD	17.02	17.13	-0.11
AA1	A0001	兆豐國際投信	81584996	兆豐國際中小基金	TWD	11	11.07	-0.07
AA1	A0001	兆豐國際投信	92003790	兆豐國際精選二十基金	TWD	10.7	10.77	-0.07
AA1	A0003	第一金投信	00968521	第一金福元基金	TWD	7.56	7.61	-0.05
AD1	A0003	第一金投信	01032249	第一金全家福貨幣市場基金	TWD	173.952	173.95	0.002
AA1	A0003	第一金投信	01032803	第一金萬得福基金	TWD	10.49	10.53	-0.04
AA2	A0003	第一金投信	10338642	第一金全球大趨勢基金	TWD	15.73	15.94	-0.21
AA1	A0003	第一金投信	15739619	第一金大中華基金	TWD	16.48	16.64	-0.16
AA2	A0003	第一金投信	17612378	第一金亞洲科技基金	TWD	12.92	12.98	-0.06
AA1	A0003	第一金投信	19341318	第一金電子基金	TWD	21	21.02	-0.02
AD1	A0003	第一金投信	20081472	第一金台灣貨幣市場基金	TWD	14.9024	14.9021	0.0003
AA1	A0003	第一金投信	20092528	第一金店頭市場基金	TWD	6.78	6.77	0.01
AC23	A0003	第一金投信	25593418A	第一金全球高收益債券基金A	TWD	13.6578	13.6847	-0.0269
AC23	A0003	第一金投信	25593418B	第一金全球高收益債券基金B	TWD	11.0023	11.024	-0.0217
AA2	A0003	第一金投信	25620512	第一金中國世紀基金	TWD	7.34	7.31	0.03
AA2	A0003	第一金投信	25652648	第一金亞洲新興市場基金	TWD	10.01	10.05	-0.04
AA1	A0003	第一金投信	26202396	第一金創新趨勢基金	TWD	11.49	11.61	-0.12
AC21	A0003	第一金投信	26297013A	第一金新興市場投資等級債券基金A	TWD	9.3216	9.402	-0.0804
AC21	A0003	第一金投信	26297013B	第一金新興市場投資等級債券基金B	TWD	8.3792	8.4514	-0.0722
AA2	A0003	第一金投信	26333215	第一金全球品牌基金	TWD	11.44	11.6	-0.16
AC21	A0003	第一金投信	31887361A	第一金全球企業社會責任投資等級債券基金A	TWD	9.4825	9.5183	-0.0358
AC21	A0003	第一金投信	31887361B	第一金全球企業社會責任投資等級債券基金B	TWD	9.2206	9.2554	-0.0348
AA2	A0003	第一金投信	31909908	第一金全球資源基金	TWD	10.01	10.07	-0.06
AA2	A0003	第一金投信	48712350	第一金旗艦基金	TWD	9.67	9.72	-0.05
AG	A0003	第一金投信	48892846A	第一金全球不動產證券化基金A	TWD	6.7702	6.8865	-0.1163
AG	A0003	第一金投信	48892846B	第一金全球不動產證券化基金B	TWD	5.4916	5.5859	-0.0943
AA1	A0003	第一金投信	48929409	第一金台灣成長基金	TWD	7.13	7.2	-0.07
AA1	A0003	第一金投信	73989002	第一金小型精選基金	TWD	20.46	20.61	-0.15
AA2	A0003	第一金投信	81593453	第一金全球台商基金	TWD	10.39	10.41	-0.02
AA2	A0003	第一金投信	92010461	第一金馬來西亞基金	TWD	12.32	12.34	-0.02
AA1	A0003	第一金投信	97980043	第一金福王基金	TWD	10.91	10.97	-0.06
AB1	A0003	第一金投信	99353151	第一金中概平衡基金	TWD	17.32	17.42	-0.1
