
類型代號	公司代號	公司名稱	基金統編	基金名稱	幣別	淨值	前一日淨值	漲跌
AA1	A0001	兆豐國際投信	00965469	兆豐國際第一基金	TWD	11.61	11.63	-0.02
AB1	A0001	兆豐國際投信	00971976	兆豐國際萬全基金	TWD	16.56	16.61	-0.05
AA2	A0001	兆豐國際投信	00992769	兆豐國際全球基金	TWD	30.27	30.65	-0.38
AA1	A0001	兆豐國際投信	01050148	兆豐國際國民基金	TWD	23.17	23.2	-0.03
AA1	A0001	兆豐國際投信	10341837	兆豐國際豐台灣基金	TWD	27.45	27.53	-0.08
AA2	A0001	兆豐國際投信	14699772	兆豐國際生命科學基金	TWD	17.08	17.01	0.07
AD1	A0001	兆豐國際投信	18044796	兆豐國際寶鑽貨幣市場基金	TWD	12.2498	12.2496	0.0002
AA2	A0001	兆豐國際投信	25637773	兆豐國際綠鑽基金	TWD	8.94	8.99	-0.05
AA2	A0001	兆豐國際投信	26278352	兆豐國際全球高股息基金	TWD	9.69	9.74	-0.05
AA2	A0001	兆豐國際投信	26299315	兆豐國際民生動力基金	TWD	10.54	10.6	-0.06
AE22	A0001	兆豐國際投信	31829638A	兆豐國際全球債券組合基金A(累積型)	TWD	10.37	10.37	0
AE22	A0001	兆豐國際投信	31829638B	兆豐國際全球債券組合基金B(月配型)	TWD	10.37	10.37	0
AC23	A0001	兆豐國際投信	31923107A	兆豐國際新興市場高收益債券基金A(累積型)	TWD	9.6348	9.6533	-0.0185
AC23	A0001	兆豐國際投信	31923107B	兆豐國際新興市場高收益債券基金B(月配型)	TWD	9.2011	9.2188	-0.0177
AA1	A0001	兆豐國際投信	73991751	兆豐國際電子基金	TWD	19.59	19.63	-0.04
AA1	A0001	兆豐國際投信	81584996	兆豐國際中小基金	TWD	12.53	12.55	-0.02
AA1	A0003	第一金投信	00968521	第一金福元基金	TWD	8.64	8.63	0.01
AD1	A0003	第一金投信	01032249	第一金全家福貨幣市場基金	TWD	174.492	174.489	0.003
AA1	A0003	第一金投信	01032803	第一金萬得福基金	TWD	12.2	12.23	-0.03
AA2	A0003	第一金投信	10338642	第一金全球大趨勢基金	TWD	17.46	17.47	-0.01
AA1	A0003	第一金投信	15739619	第一金大中華基金	TWD	18.76	18.66	0.1
AA2	A0003	第一金投信	17612378	第一金亞洲科技基金	TWD	14.36	14.58	-0.22
AA1	A0003	第一金投信	19341318	第一金電子基金	TWD	26.32	26.14	0.18
AD1	A0003	第一金投信	20081472	第一金台灣貨幣市場基金	TWD	14.9503	14.95	0.0003
AA1	A0003	第一金投信	20092528	第一金店頭市場基金	TWD	7.53	7.52	0.01
AC23	A0003	第一金投信	25593418A	第一金全球高收益債券基金A	TWD	14.3974	14.4026	-0.0052
AC23	A0003	第一金投信	25593418B	第一金全球高收益債券基金B	TWD	11.1969	11.2569	-0.06
AA2	A0003	第一金投信	25620512	第一金中國世紀基金	TWD	7.31	7.34	-0.03
AA2	A0003	第一金投信	25652648	第一金亞洲新興市場基金	TWD	10.14	10.14	0
AA1	A0003	第一金投信	26202396	第一金創新趨勢基金	TWD	13.58	13.54	0.04
AC21	A0003	第一金投信	26297013A	第一金新興市場投資等級債券基金A	TWD	9.1758	9.1739	0.0019
AC21	A0003	第一金投信	26297013B	第一金新興市場投資等級債券基金B	TWD	7.9662	8.0075	-0.0413
AA2	A0003	第一金投信	26333215	第一金全球品牌基金	TWD	12.26	12.29	-0.03
AC21	A0003	第一金投信	31887361A	第一金全球企業社會責任投資等級債券基金A	TWD	9.8058	9.7938	0.012
AC21	A0003	第一金投信	31887361B	第一金全球企業社會責任投資等級債券基金B	TWD	9.3284	9.347	-0.0186
AA2	A0003	第一金投信	31909908	第一金全球資源基金	TWD	10.16	10.16	0
AA2	A0003	第一金投信	48712350	第一金旗艦基金	TWD	10.76	10.75	0.01
AG	A0003	第一金投信	48892846A	第一金全球不動產證券化基金A	TWD	7.4834	7.5185	-0.0351
AG	A0003	第一金投信	48892846B	第一金全球不動產證券化基金B	TWD	6.0101	6.0383	-0.0282
AA1	A0003	第一金投信	48929409	第一金台灣成長基金	TWD	8.54	8.53	0.01
AA1	A0003	第一金投信	73989002	第一金小型精選基金	TWD	23.68	23.61	0.07
AA2	A0003	第一金投信	81593453	第一金全球台商基金	TWD	11.58	11.58	0
AA2	A0003	第一金投信	92010461	第一金馬來西亞基金	TWD	12.71	12.7	0.01
AA1	A0003	第一金投信	97980043	第一金福王基金	TWD	11.82	11.88	-0.06
AB1	A0003	第一金投信	99353151	第一金中概平衡基金	TWD	18.69	18.74	-0.05
AB1	A0004	匯豐中華投信	00971080	匯豐安富基金	TWD	21.4	21.42	-0.02
AA1	A0004	匯豐中華投信	01031298	匯豐龍鳳基金	TWD	37.9	37.94	-0.04
AA2	A0004	匯豐中華投信	18031954	匯豐太平洋精典基金	TWD	13.09	13.26	-0.17
AA2	A0004	匯豐中華投信	25500903	匯豐中國動力基金	TWD	11.11	11.17	-0.06
AE22	A0004	匯豐中華投信	25617919	匯豐雙高收益債券組合基金	TWD	11.9666	11.9668	-0.0002
AA2	A0004	匯豐中華投信	25651866	匯豐黃金及礦業股票型基金	TWD	6.03	5.91	0.12
AC21	A0004	匯豐中華投信	25695077A	匯豐資源豐富國家債券基金-累積型	TWD	9.7203	9.6923	0.028
AC21	A0004	匯豐中華投信	25695077B	匯豐資源豐富國家債券基金-月配型	TWD	7.7205	7.6923	0.0282
AC23	A0004	匯豐中華投信	26286281A	匯豐亞洲高收益債券基金-累積型	TWD	11.038	11.045	-0.007
AC23	A0004	匯豐中華投信	26286281B	匯豐亞洲高收益債券基金-月配型	TWD	9.4639	9.4708	-0.0069
AA2	A0004	匯豐中華投信	26335699	匯豐拉丁美洲基金	TWD	8.16	8.12	0.04
AC23	A0004	匯豐中華投信	26396604A	匯豐中國點心高收益債券基金(台幣不配息)	TWD	11.0932	11.0954	-0.0022
AC23	A0004	匯豐中華投信	26396604B	匯豐中國點心高收益債券基金(人民幣不配息)	CNY	2.2888	2.2902	-0.0014
AC23	A0004	匯豐中華投信	26396604C	匯豐中國點心高收益債券基金(人民幣配息)	CNY	2.2306	2.2321	-0.0015
AC23	A0004	匯豐中華投信	26396604D	匯豐中國點心高收益債券基金(台幣配息)	TWD	11.0931	11.0953	-0.0022
AC23	A0004	匯豐中華投信	26396604E	匯豐中國點心高收益債券基金(美元不配息)	USD	0.3721	0.3722	-0.0001
AC23	A0004	匯豐中華投信	26396604F	匯豐中國點心高收益債券基金(美元配息)	USD	0.3721	0.3722	-0.0001
AA2	A0004	匯豐中華投信	38482745	匯豐中國A股匯聚基金	TWD	9.55	9.56	-0.01
AA2	A0004	匯豐中華投信	48686374	匯豐金磚動力基金	TWD	10.47	10.57	-0.1
AE22	A0004	匯豐中華投信	48745129	匯豐五福全球債券組合基金	TWD	12.6057	12.6003	0.0054
AA2	A0004	匯豐中華投信	48784327	匯豐新鑽動力基金	TWD	8.71	8.79	-0.08
AE21	A0004	匯豐中華投信	48865209	匯豐全球趨勢組合基金	TWD	10.17	10.16	0.01
AA2	A0004	匯豐中華投信	48925001	匯豐全球關鍵資源基金	TWD	8.08	8.09	-0.01
AA2	A0004	匯豐中華投信	48998019	匯豐全球新富基金	TWD	10.69	10.72	-0.03
AA1	A0004	匯豐中華投信	73987671	匯豐台灣精典基金	TWD	18	18.02	-0.02
AA1	A0004	匯豐中華投信	76941376	匯豐成功基金	TWD	32.5	32.63	-0.13
AA1	A0004	匯豐中華投信	92017794	匯豐龍騰電子基金	TWD	25.27	25.34	-0.07
AD1	A0004	匯豐中華投信	92025871	匯豐富泰貨幣市場基金	TWD	15.6488	15.6486	0.0002
AD1	A0004	匯豐中華投信	97993027	匯豐富泰二號貨幣市場基金	TWD	14.8114	14.8112	0.0002
AA1	A0004	匯豐中華投信	97995664	匯豐中小基金	TWD	8.55	8.57	-0.02
AA1	A0005	元大寶來投信	00974066	元大寶來2001基金	TWD	46.88	46.99	-0.11
AA1	A0005	元大寶來投信	01032058	元大寶來多福基金	TWD	48.02	48.11	-0.09
AH1	A0005	元大寶來投信	10342511	元大寶來新台灣基金	TWD	30.36	30.39	-0.03
AA2	A0005	元大寶來投信	10348058	元大寶來全球農業商機基金	TWD	17.08	17.08	0
AD1	A0005	元大寶來投信	13530495	元大寶來得寶貨幣市場基金	TWD	11.7597	11.7595	0.0002
AA1	A0005	元大寶來投信	14542287	元大寶來精準中小基金	TWD	18.67	18.74	-0.07
AA2	A0005	元大寶來投信	14696466	元大寶來全球成長基金	TWD	18.3	18.29	0.01
AA1	A0005	元大寶來投信	17139204	元大寶來新主流基金	TWD	17.95	17.96	-0.01
AA1	A0005	元大寶來投信	17145070	元大寶來矽谷基金	TWD	12.04	12.05	-0.01
AA1	A0005	元大寶來投信	18036281	元大寶來巴菲特基金	TWD	22.03	22.07	-0.04
AA1	A0005	元大寶來投信	20080023	元大寶來店頭基金	TWD	7.58	7.54	0.04
AD1	A0005	元大寶來投信	20081331	元大寶來萬泰貨幣市場基金	TWD	14.8246	14.8244	0.0002
AG	A0005	元大寶來投信	21718388A	元大寶來全球不動產證券化基金(A)-不配息型	TWD	10.8	10.86	-0.06
AG	A0005	元大寶來投信	21718388B	元大寶來全球不動產證券化基金(B)-配息型	TWD	8.2	8.25	-0.05
AA2	A0005	元大寶來投信	25520400	元大寶來新中國基金	TWD	7.94	7.99	-0.05
AI2	A0005	元大寶來投信	25591306	元大寶來大中華價值指數基金	TWD	12.487	12.596	-0.109
AH2	A0005	元大寶來投信	25610486	元大寶來標智滬深300基金	TWD	11.24	11.27	-0.03
AA2	A0005	元大寶來投信	25622390	元大寶來印度基金	TWD	8.31	8.33	-0.02
AE22	A0005	元大寶來投信	25638920A	元大寶來全球靈活配置債券組合基金(A)-不配息型	TWD	10.74	10.73	0.01
