類型代號	公司代號	公司名稱	受益憑證代號	基金統編	基金名稱	幣別	淨值	前一日淨值	漲跌
AA1	A0001	兆豐國際投信	T0102Y	00965469	兆豐國際第一基金	TWD	11.85	11.92	-0.07
AB1	A0001	兆豐國際投信	T0105Y	00971976	兆豐國際萬全基金	TWD	16.09	16.19	-0.1
AA2	A0001	兆豐國際投信	T0104Y	00992769	兆豐國際全球基金	TWD	32.68	32.8	-0.12
AA1	A0001	兆豐國際投信	T0103Y	01050148	兆豐國際國民基金	TWD	22.12	22.2	-0.08
AA1	A0001	兆豐國際投信	T0110Y	10341837	兆豐國際豐台灣基金	TWD	26.77	26.87	-0.1
AA2	A0001	兆豐國際投信	T0109Y	14699772	兆豐國際生命科學基金	TWD	18.57	18.39	0.18
AD1	A0001	兆豐國際投信	T0101Y	18044796	兆豐國際寶鑽貨幣市場基金	TWD	12.2958	12.2956	0.0002
AA2	A0001	兆豐國際投信	T0112Y	25637773	兆豐國際綠鑽基金	TWD	8.48	8.48	0
AA2	A0001	兆豐國際投信	T0114Y	26278352	兆豐國際全球高股息基金	TWD	10.05	10.05	0
AA2	A0001	兆豐國際投信	T0115Y	26299315	兆豐國際民生動力基金	TWD	10.3	10.26	0.04
AE22	A0001	兆豐國際投信	T0116A	31829638A	兆豐國際全球債券組合基金A(累積型)	TWD	10.55	10.54	0.01
AE22	A0001	兆豐國際投信	T0116Y	31829638B	兆豐國際全球債券組合基金B(月配型)	TWD	10.52	10.52	0
AC23	A0001	兆豐國際投信	T0007A	31923107A	兆豐國際新興市場高收益債券基金A(累積型)	TWD	10.0615	10.0723	-0.0108
AC23	A0001	兆豐國際投信	T0117B	31923107B	兆豐國際新興市場高收益債券基金B(月配型)	TWD	9.3295	9.3395	-0.01
AD2	A0001	兆豐國際投信	T0118Y	38522710	兆豐國際人民幣貨幣市場基金	CNY	10.1678	10.167	0.0008
AA2	A0001	兆豐國際投信	T0119A	38592074A	兆豐國際中國A股基金(台幣)	TWD	10.25	10.24	0.01
AA2	A0001	兆豐國際投信	T0119B	38592074B	兆豐國際中國A股基金(美金)	USD	10.07	10.07	0
AA1	A0001	兆豐國際投信	T0108Y	73991751	兆豐國際電子基金	TWD	19.43	19.68	-0.25
AA1	A0001	兆豐國際投信	T0107Y	81584996	兆豐國際中小基金	TWD	11.99	12.11	-0.12
AD1	A0003	第一金投信	T0306Y	01032249	第一金全家福貨幣市場基金	TWD	175.081	175.078	0.003
AA2	A0003	第一金投信	T0331Y	10338642	第一金全球大趨勢基金	TWD	17.86	17.83	0.03
AA1	A0003	第一金投信	T0318Y	15739619	第一金大中華基金	TWD	18.67	18.91	-0.24
AA2	A0003	第一金投信	T0316Y	17612378	第一金亞洲科技基金	TWD	14.41	14.51	-0.1
AA1	A0003	第一金投信	T0314Y	19341318	第一金電子基金	TWD	23.58	23.98	-0.4
AD1	A0003	第一金投信	T0310Y	20081472	第一金台灣貨幣市場基金	TWD	15.0024	15.0022	0.0002
AA1	A0003	第一金投信	T0311Y	20092528	第一金店頭市場基金	TWD	6.98	7.13	-0.15
AC23	A0003	第一金投信	T0332A	25593418A	第一金全球高收益債券基金A	TWD	14.4816	14.4814	0.0002
