類型代號	公司代號	公司名稱	基金統編	基金名稱	幣別	淨值	前一日淨值	漲跌
AA1	A0001	兆豐國際投信	00965469	兆豐國際第一基金	TWD	10.6	10.49	0.11
AB1	A0001	兆豐國際投信	00971976	兆豐國際萬全基金	TWD	15.05	14.95	0.1
AA2	A0001	兆豐國際投信	00992769	兆豐國際全球基金	TWD	30.41	30.37	0.04
AA1	A0001	兆豐國際投信	01050148	兆豐國際國民基金	TWD	22.57	22.24	0.33
AA1	A0001	兆豐國際投信	10341837	兆豐國際豐台灣基金	TWD	26.49	26.24	0.25
AA2	A0001	兆豐國際投信	14699772	兆豐國際生命科學基金	TWD	15.02	15.14	-0.12
AD1	A0001	兆豐國際投信	18044796	兆豐國際寶鑽貨幣市場基金	TWD	12.217	12.2168	0.0002
AA2	A0001	兆豐國際投信	25637773	兆豐國際綠鑽基金	TWD	8.26	8.31	-0.05
AA2	A0001	兆豐國際投信	26278352	兆豐國際全球高股息基金	TWD	9.25	9.21	0.04
AA2	A0001	兆豐國際投信	26299315	兆豐國際民生動力基金	TWD	9.81	9.82	-0.01
AE22	A0001	兆豐國際投信	31829638A	兆豐國際全球債券組合基金A(累積型)	TWD	10.01	10	0.01
AE22	A0001	兆豐國際投信	31829638B	兆豐國際全球債券組合基金B(月配型)	TWD	10.01	10	0.01
AC23	A0001	兆豐國際投信	31923107A	兆豐國際新興市場高收益債券基金A(累積型)	TWD	9.3115	9.3052	0.0063
AC23	A0001	兆豐國際投信	31923107B	兆豐國際新興市場高收益債券基金B(月配型)	TWD	9.061	9.0548	0.0062
AA1	A0001	兆豐國際投信	73991751	兆豐國際電子基金	TWD	17.56	17.31	0.25
AA1	A0001	兆豐國際投信	81584996	兆豐國際中小基金	TWD	11.38	11.23	0.15
AA1	A0001	兆豐國際投信	92003790	兆豐國際精選二十基金	TWD	10.98	10.81	0.17
AA1	A0003	第一金投信	00968521	第一金福元基金	TWD	7.78	7.73	0.05
AD1	A0003	第一金投信	01032249	第一金全家福貨幣市場基金	TWD	174.079	174.077	0.002
AA1	A0003	第一金投信	01032803	第一金萬得福基金	TWD	11.14	10.96	0.18
AA2	A0003	第一金投信	10338642	第一金全球大趨勢基金	TWD	15.77	15.88	-0.11
AA1	A0003	第一金投信	15739619	第一金大中華基金	TWD	16.74	16.43	0.31
AA2	A0003	第一金投信	17612378	第一金亞洲科技基金	TWD	13.31	13.3	0.01
AA1	A0003	第一金投信	19341318	第一金電子基金	TWD	22.32	22.2	0.12
AD1	A0003	第一金投信	20081472	第一金台灣貨幣市場基金	TWD	14.9136	14.9134	0.0002
AA1	A0003	第一金投信	20092528	第一金店頭市場基金	TWD	7.23	7.14	0.09
AC23	A0003	第一金投信	25593418A	第一金全球高收益債券基金A	TWD	13.7401	13.7314	0.0087
