AB1	A0001	兆豐國際投信	00971976	兆豐國際萬全基金	TWD	15.86	15.86	0
AD1	A0001	兆豐國際投信	18044796	兆豐國際寶鑽貨幣市場基金	TWD	12.241	12.2408	0.0002
AE22	A0001	兆豐國際投信	31829638A	兆豐國際全球債券組合基金A(累積型)	TWD	10.23	10.24	-0.01
AE22	A0001	兆豐國際投信	31829638B	兆豐國際全球債券組合基金B(月配型)	TWD	10.23	10.24	-0.01
AC23	A0001	兆豐國際投信	31923107A	兆豐國際新興市場高收益債券基金A(累積型)	TWD	9.4943	9.4835	0.0108
AC23	A0001	兆豐國際投信	31923107B	兆豐國際新興市場高收益債券基金B(月配型)	TWD	9.1008	9.0905	0.0103
AD1	A0003	第一金投信	01032249	第一金全家福貨幣市場基金	TWD	174.38	174.377	0.003
AA2	A0003	第一金投信	10338642	第一金全球大趨勢基金	TWD	17.1	17.03	0.07
AA2	A0003	第一金投信	17612378	第一金亞洲科技基金	TWD	14.09	14.12	-0.03
AD1	A0003	第一金投信	20081472	第一金台灣貨幣市場基金	TWD	14.9405	14.9402	0.0003
AC23	A0003	第一金投信	25593418A	第一金全球高收益債券基金A	TWD	14.2301	14.2291	0.001
AC23	A0003	第一金投信	25593418B	第一金全球高收益債券基金B	TWD	11.1778	11.1771	0.0007
AA2	A0003	第一金投信	25620512	第一金中國世紀基金	TWD	7.49	7.47	0.02
AA2	A0003	第一金投信	25652648	第一金亞洲新興市場基金	TWD	9.71	9.68	0.03
AC21	A0003	第一金投信	26297013A	第一金新興市場投資等級債券基金A	TWD	9.1121	9.0819	0.0302
AC21	A0003	第一金投信	26297013B	第一金新興市場投資等級債券基金B	TWD	7.9965	7.97	0.0265
AA2	A0003	第一金投信	26333215	第一金全球品牌基金	TWD	12.26	12.19	0.07
AC21	A0003	第一金投信	31887361A	第一金全球企業社會責任投資等級債券基金A	TWD	9.7336	9.7206	0.013
AC21	A0003	第一金投信	31887361B	第一金全球企業社會責任投資等級債券基金B	TWD	9.3194	9.307	0.0124
AA2	A0003	第一金投信	31909908	第一金全球資源基金	TWD	9.98	9.94	0.04
AA2	A0003	第一金投信	48712350	第一金旗艦基金	TWD	10.2	10.18	0.02
AG	A0003	第一金投信	48892846A	第一金全球不動產證券化基金A	TWD	7.3152	7.273	0.0422
AG	A0003	第一金投信	48892846B	第一金全球不動產證券化基金B	TWD	5.8751	5.8412	0.0339
AA2	A0003	第一金投信	81593453	第一金全球台商基金	TWD	10.95	10.93	0.02
AA2	A0003	第一金投信	92010461	第一金馬來西亞基金	TWD	12.25	12.23	0.02
AB1	A0004	匯豐中華投信	00971080	匯豐安富基金	TWD	21.12	21.12	0
AA2	A0004	匯豐中華投信	18031954	匯豐太平洋精典基金	TWD	13.22	13.25	-0.03
AE22	A0004	匯豐中華投信	25617919	匯豐雙高收益債券組合基金	TWD	11.8016	11.8072	-0.0056
AC21	A0004	匯豐中華投信	25695077A	匯豐資源豐富國家債券基金-累積型	TWD	9.4868	9.4696	0.0172
AC21	A0004	匯豐中華投信	25695077B	匯豐資源豐富國家債券基金-月配型	TWD	7.5697	7.5525	0.0172
AC23	A0004	匯豐中華投信	26286281A	匯豐亞洲高收益債券基金-累積型	TWD	10.8501	10.8231	0.027
AC23	A0004	匯豐中華投信	26286281B	匯豐亞洲高收益債券基金-月配型	TWD	9.3697	9.3426	0.0271
