類型代號	公司代號	公司名稱	基金統編	基金名稱	幣別	淨值	前一日淨值	漲跌
AA1	A0001	兆豐國際投信	00965469	兆豐國際第一基金	TWD	10.93	10.85	0.08
AB1	A0001	兆豐國際投信	00971976	兆豐國際萬全基金	TWD	15.7	15.68	0.02
AA2	A0001	兆豐國際投信	00992769	兆豐國際全球基金	TWD	31.63	31.53	0.1
AA1	A0001	兆豐國際投信	01050148	兆豐國際國民基金	TWD	23.33	23.18	0.15
AA1	A0001	兆豐國際投信	10341837	兆豐國際豐台灣基金	TWD	27.65	27.5	0.15
AA2	A0001	兆豐國際投信	14699772	兆豐國際生命科學基金	TWD	16.21	16.13	0.08
AD1	A0001	兆豐國際投信	18044796	兆豐國際寶鑽貨幣市場基金	TWD	12.2368	12.2366	0.0002
AA2	A0001	兆豐國際投信	25637773	兆豐國際綠鑽基金	TWD	8.84	8.8	0.04
AA2	A0001	兆豐國際投信	26278352	兆豐國際全球高股息基金	TWD	9.73	9.71	0.02
AA2	A0001	兆豐國際投信	26299315	兆豐國際民生動力基金	TWD	10.52	10.42	0.1
AE22	A0001	兆豐國際投信	31829638A	兆豐國際全球債券組合基金A(累積型)	TWD	10.25	10.23	0.02
AE22	A0001	兆豐國際投信	31829638B	兆豐國際全球債券組合基金B(月配型)	TWD	10.25	10.23	0.02
AC23	A0001	兆豐國際投信	31923107A	兆豐國際新興市場高收益債券基金A(累積型)	TWD	9.5644	9.537	0.0274
AC23	A0001	兆豐國際投信	31923107B	兆豐國際新興市場高收益債券基金B(月配型)	TWD	9.203	9.1767	0.0263
AA1	A0001	兆豐國際投信	73991751	兆豐國際電子基金	TWD	18.16	18.09	0.07
AA1	A0001	兆豐國際投信	81584996	兆豐國際中小基金	TWD	11.73	11.65	0.08
AA1	A0003	第一金投信	00968521	第一金福元基金	TWD	8.06	7.96	0.1
AD1	A0003	第一金投信	01032249	第一金全家福貨幣市場基金	TWD	174.327	174.325	0.002
AA1	A0003	第一金投信	01032803	第一金萬得福基金	TWD	11.94	11.86	0.08
AA2	A0003	第一金投信	10338642	第一金全球大趨勢基金	TWD	17.46	17.32	0.14
AA1	A0003	第一金投信	15739619	第一金大中華基金	TWD	17.43	17.28	0.15
AA2	A0003	第一金投信	17612378	第一金亞洲科技基金	TWD	14.03	14.08	-0.05
AA1	A0003	第一金投信	19341318	第一金電子基金	TWD	23.63	23.39	0.24
AD1	A0003	第一金投信	20081472	第一金台灣貨幣市場基金	TWD	14.9358	14.9356	0.0002
AA1	A0003	第一金投信	20092528	第一金店頭市場基金	TWD	7.02	7.04	-0.02
AC23	A0003	第一金投信	25593418A	第一金全球高收益債券基金A	TWD	14.1957	14.1655	0.0302
AC23	A0003	第一金投信	25593418B	第一金全球高收益債券基金B	TWD	11.2068	11.183	0.0238
AA2	A0003	第一金投信	25620512	第一金中國世紀基金	TWD	7.51	7.49	0.02
AA2	A0003	第一金投信	25652648	第一金亞洲新興市場基金	TWD	9.74	9.71	0.03
AA1	A0003	第一金投信	26202396	第一金創新趨勢基金	TWD	12.53	12.45	0.08
AC21	A0003	第一金投信	26297013A	第一金新興市場投資等級債券基金A	TWD	9.311	9.2874	0.0236
AC21	A0003	第一金投信	26297013B	第一金新興市場投資等級債券基金B	TWD	8.2143	8.1935	0.0208
AA2	A0003	第一金投信	26333215	第一金全球品牌基金	TWD	12.52	12.43	0.09
AC21	A0003	第一金投信	31887361A	第一金全球企業社會責任投資等級債券基金A	TWD	9.6839	9.6715	0.0124
AC21	A0003	第一金投信	31887361B	第一金全球企業社會責任投資等級債券基金B	TWD	9.3019	9.2901	0.0118
AA2	A0003	第一金投信	31909908	第一金全球資源基金	TWD	10.23	10.23	0
AA2	A0003	第一金投信	48712350	第一金旗艦基金	TWD	10.52	10.48	0.04
AG	A0003	第一金投信	48892846A	第一金全球不動產證券化基金A	TWD	7.3596	7.3359	0.0237
AG	A0003	第一金投信	48892846B	第一金全球不動產證券化基金B	TWD	5.9336	5.9145	0.0191
AA1	A0003	第一金投信	48929409	第一金台灣成長基金	TWD	8.11	7.98	0.13
AA1	A0003	第一金投信	73989002	第一金小型精選基金	TWD	22.41	22.26	0.15
AA2	A0003	第一金投信	81593453	第一金全球台商基金	TWD	11.32	11.31	0.01
AA2	A0003	第一金投信	92010461	第一金馬來西亞基金	TWD	12.72	12.7	0.02
AA1	A0003	第一金投信	97980043	第一金福王基金	TWD	12.34	12.27	0.07
AB1	A0003	第一金投信	99353151	第一金中概平衡基金	TWD	18.33	18.25	0.08
AB1	A0004	匯豐中華投信	00971080	匯豐安富基金	TWD	21.28	21.26	0.02
AA1	A0004	匯豐中華投信	01031298	匯豐龍鳳基金	TWD	37.66	37.6	0.06
