類型代號	公司代號	公司名稱	受益憑證代號	基金統編	基金名稱	幣別	淨值	前一日淨值	漲跌
AC21	A0004	匯豐中華投信	T0440B	25695077B	匯豐資源豐富國家債券基金-月配型	TWD	6.8858	7.0444	-0.1586
AC23	A0004	匯豐中華投信	T0443A	26286281A	匯豐亞洲高收益債券基金-累積型	TWD	11.2989	11.3091	-0.0102
AC23	A0004	匯豐中華投信	T0443B	26286281B	匯豐亞洲高收益債券基金-月配型	TWD	9.1772	9.1873	-0.0101
AA2	A0004	匯豐中華投信	T0447Y	26335699	匯豐拉丁美洲基金	TWD	7.8	8	-0.2
AC23	A0004	匯豐中華投信	T0449Y	26396604A	匯豐中國點心高收益債券基金(台幣不配息)	TWD	10.9453	10.9569	-0.0116
AC23	A0004	匯豐中華投信	T0449A	26396604B	匯豐中國點心高收益債券基金(人民幣不配息)	CNY	2.2412	2.2409	0.0003
AC23	A0004	匯豐中華投信	T0449B	26396604C	匯豐中國點心高收益債券基金(人民幣配息)	CNY	2.0989	2.0983	0.0006
AC23	A0004	匯豐中華投信	T0449C	26396604D	匯豐中國點心高收益債券基金(台幣配息)	TWD	10.4677	10.4788	-0.0111
AC23	A0004	匯豐中華投信	T0449D	26396604E	匯豐中國點心高收益債券基金(美元不配息)	USD	0.356	0.3563	-0.0003
AC23	A0004	匯豐中華投信	T0449E	26396604F	匯豐中國點心高收益債券基金(美元配息)	USD	0.3401	0.3404	-0.0003
AA2	A0004	匯豐中華投信	T0453Y	38482745	匯豐中國A股匯聚基金	TWD	12.96	13.06	-0.1
AB2	A0004	匯豐中華投信	T0458A	38647535A	匯豐中國多元資產入息平衡基金(台幣不配息)	TWD	9.9551	9.9922	-0.0371
AB2	A0004	匯豐中華投信	T0458B	38647535B	匯豐中國多元資產入息平衡基金(台幣配息)	TWD	9.9551	9.9922	-0.0371
AB2	A0004	匯豐中華投信	T0458C	38647535C	匯豐中國多元資產入息平衡基金(人民幣不配息)	CNY	10.0068	10.0159	-0.0091
AB2	A0004	匯豐中華投信	T0458D	38647535D	匯豐中國多元資產入息平衡基金(人民幣配息)	CNY	10.0068	10.0159	-0.0091
AB2	A0004	匯豐中華投信	T0458E	38647535E	匯豐中國多元資產入息平衡基金(美元不配息)	USD	9.9624	9.9814	-0.019
AB2	A0004	匯豐中華投信	T0458F	38647535F	匯豐中國多元資產入息平衡基金(美元配息)	USD	9.9624	9.9814	-0.019
AA2	A0004	匯豐中華投信	T0425Y	48686374	匯豐金磚動力基金	TWD	12.12	12.2	-0.08
AE22	A0004	匯豐中華投信	T0427Y	48745129	匯豐五福全球債券組合基金	TWD	13.0704	13.0954	-0.025
AA2	A0004	匯豐中華投信	T0428Y	48784327	匯豐新鑽動力基金	TWD	9.99	10.02	-0.03
AE21	A0004	匯豐中華投信	T0429Y	48865209	匯豐全球趨勢組合基金	TWD	10.8	10.98	-0.18
AA2	A0004	匯豐中華投信	T0431Y	48925001	匯豐全球關鍵資源基金	TWD	7.66	7.79	-0.13
AA1	A0004	匯豐中華投信	T0415Y	73987671	匯豐台灣精典基金	TWD	20.2	20.06	0.14
AA1	A0004	匯豐中華投信	T0406Y	76941376	匯豐成功基金	TWD	33.12	32.8	0.32
AA1	A0004	匯豐中華投信	T0410Y	92017794	匯豐龍騰電子基金	TWD	29.3	29.17	0.13
AD1	A0004	匯豐中華投信	T0411Y	92025871	匯豐富泰貨幣市場基金	TWD	15.7135	15.7133	0.0002
AD1	A0004	匯豐中華投信	T0413Y	97993027	匯豐富泰二號貨幣市場基金	TWD	14.8732	14.8731	0.0001
AA1	A0004	匯豐中華投信	T0414Y	97995664	匯豐中小基金	TWD	8.92	8.82	0.1
AA1	A0005	元大寶來投信	T0567Y	00974066	元大寶來2001基金	TWD	52.03	51.55	0.48
AA1	A0005	元大寶來投信	T0502Y	01032058	元大寶來多福基金	TWD	52.71	52.18	0.53
AH1	A0005	元大寶來投信	0060	10342511	元大寶來新台灣基金	TWD	32.61	32.24	0.37
AA2	A0005	元大寶來投信	T0553Y	10348058	元大寶來全球農業商機基金	TWD	17.05	17.23	-0.18
AD1	A0005	元大寶來投信	T0571Y	13530495	元大寶來得寶貨幣市場基金	TWD	11.8231	11.8229	0.0002
AA1	A0005	元大寶來投信	T0572Y	14542287	元大寶來精準中小基金	TWD	18.04	17.9	0.14
AA2	A0005	元大寶來投信	T0519Y	14696466	元大寶來全球成長基金	TWD	18.61	18.73	-0.12
AA1	A0005	元大寶來投信	T0513Y	17139204	元大寶來新主流基金	TWD	19.59	19.41	0.18
AA1	A0005	元大寶來投信	T0516Y	18036281	元大寶來巴菲特基金	TWD	22.19	22.03	0.16
AA1	A0005	元大寶來投信	T0506Y	20080023	元大寶來店頭基金	TWD	7.62	7.54	0.08
AD1	A0005	元大寶來投信	T0507Y	20081331	元大寶來萬泰貨幣市場基金	TWD	14.9041	14.9039	0.0002
AG	A0005	元大寶來投信	T0576A	21718388A	元大寶來全球不動產證券化基金(A)-不配息型	TWD	11.6	11.7	-0.1
AG	A0005	元大寶來投信	T0576B	21718388B	元大寶來全球不動產證券化基金(B)-配息型	TWD	8.67	8.74	-0.07
AA2	A0005	元大寶來投信	T0556Y	25520400	元大寶來新中國基金	TWD	8.65	8.75	-0.1
AI2	A0005	元大寶來投信	T0581Y	25591306	元大寶來大中華價值指數基金	TWD	15.393	15.416	-0.023
AH2	A0005	元大寶來投信	0061	25610486	元大寶來標智滬深300基金	TWD	17.15	17.44	-0.29
AE22	A0005	元大寶來投信	T0583A	25638920A	元大寶來全球靈活配置債券組合基金(A)-不配息型	TWD	10.89	10.95	-0.06
AE22	A0005	元大寶來投信	T0583B	25638920B	元大寶來全球靈活配置債券組合基金(B)-配息型	TWD	10.84	10.91	-0.07
AA2	A0005	元大寶來投信	T0558Y	25643156	元大寶來新興亞洲基金	TWD	9.91	9.89	0.02
AI2	A0005	元大寶來投信	T0587Y	26203846	元大寶來印尼指數基金	TWD	9.765	9.678	0.087
AI2	A0005	元大寶來投信	T0585Y	26203851	元大寶來巴西指數基金	TWD	4.979	5.119	-0.14
AA2	A0005	元大寶來投信	T0560Y	26206323	元大寶來華夏中小基金	TWD	7.79	7.83	-0.04
AH1	A0005	元大寶來投信	006201	26282102	元大寶來富櫃50基金	TWD	13	12.84	0.16
AC21	A0005	元大寶來投信	T0588A	26297576A	元大寶來全球國富債券基金(A)-不配息型	TWD	8.3654	8.4441	-0.0787
AC21	A0005	元大寶來投信	T0588B	26297576B	元大寶來全球國富債券基金(B)-配息型	TWD	6.5407	6.6022	-0.0615
AH1	A0005	元大寶來投信	006203	26306553	元大寶來摩臺基金	TWD	33.61	33.46	0.15
AI1	A0005	元大寶來投信	T0564Y	26307568	元大寶來台股指數基金	TWD	11.241	11.187	0.054
AA2	A0005	元大寶來投信	T0589Y	26326707	元大寶來新興市場ESG策略基金	TWD	11.95	12.03	-0.08
AC23	A0005	元大寶來投信	T0566Y	26394367	元大寶來中國高收益點心債券基金	TWD	10.9154	10.9402	-0.0248
AB2	A0005	元大寶來投信	T0591Y	31830473A	元大寶來中國平衡基金-新台幣	TWD	11.96	11.95	0.01
AB2	A0005	元大寶來投信	T0591A	31830473B	元大寶來中國平衡基金-人民幣	CNY	2.4	2.38	0.02
AH2	A0005	元大寶來投信	006206	31830488	元大寶來上證50基金	TWD	28.34	28.31	0.03
AI2	A0005	元大寶來投信	T0593A	31931789A	元大寶來亞太政府公債指數基金(A)-不配息型	TWD	9.1389	9.2069	-0.068
AI2	A0005	元大寶來投信	T0593B	31931789B	元大寶來亞太政府公債指數基金(B)-配息型	TWD	8.4973	8.5606	-0.0633
AC21	A0005	元大寶來投信	T0594A	38546950A	元大寶來中國機會債券基金-新台幣	TWD	10.4747	10.5105	-0.0358
AC21	A0005	元大寶來投信	T0594B	38546950B	元大寶來中國機會債券基金-人民幣(A)不配息	CNY	10.0925	10.0937	-0.0012
AC21	A0005	元大寶來投信	T0594C	38546950C	元大寶來中國機會債券基金-人民幣(B)配息	CNY	9.9892	9.9904	-0.0012
AD2	A0005	元大寶來投信	T0595A	38546966A	元大寶來人民幣貨幣市場基金-新台幣	TWD	10.5686	10.6039	-0.0353
AD2	A0005	元大寶來投信	T0595B	38546966B	元大寶來人民幣貨幣市場基金-人民幣	CNY	10.1919	10.191	0.0009
AH1	A0005	元大寶來投信		38619904	元大寶來台灣50單日正向2倍基金	TWD	23.19	22.97	0.22
AH1	A0005	元大寶來投信		38619910	元大寶來台灣50單日反向1倍基金	TWD	18.35	18.45	-0.1
AA2	A0005	元大寶來投信	T0596A	38639090A	元大寶來大中華TMT基金-新台幣	TWD	10.16	10.31	-0.15
AA2	A0005	元大寶來投信	T0596B	38639090B	元大寶來大中華TMT基金-人民幣	CNY	10.21	10.32	-0.11
AA2	A0005	元大寶來投信	T0537Y	48708243	元大寶來亞太成長基金	TWD	10.99	10.93	0.06
AA2	A0005	元大寶來投信	T0538Y	48753324	元大寶來泛歐成長基金	TWD	9.49	9.52	-0.03
AE21	A0005	元大寶來投信	T0577Y	48760113	元大寶來全球新興市場精選組合基金	TWD	12.89	12.95	-0.06
AH1	A0005	元大寶來投信	0051	48772770	元大寶來台灣中型100基金	TWD	30.95	30.8	0.15
AE21	A0005	元大寶來投信	T0578Y	48789815	元大寶來全球ETF成長組合基金	TWD	10.33	10.48	-0.15
AC22	A0005	元大寶來投信	T0539A	48849362A	元大寶來全球滿意入息基金-不配息型	TWD	11.13	11.2	-0.07
AC22	A0005	元大寶來投信	T0539B	48849362B	元大寶來全球滿意入息基金-配息型	TWD	8.25	8.3	-0.05
AG	A0005	元大寶來投信	T0542A	48885346A	元大寶來全球地產建設入息基金-不配息型	TWD	8.6	8.67	-0.07
AG	A0005	元大寶來投信	T0542B	48885346B	元大寶來全球地產建設入息基金-配息型	TWD	7.13	7.19	-0.06
AH1	A0005	元大寶來投信	0055	48903175	元大寶來台灣金融基金	TWD	14.95	14.82	0.13
AH1	A0005	元大寶來投信	0054	48903180	元大寶來台商收成基金	TWD	24.26	24.1	0.16
AH1	A0005	元大寶來投信	0053	48903196	元大寶來台灣電子科技基金	TWD	30.61	30.53	0.08
AA2	A0005	元大寶來投信	T0546A	48952816A	元大寶來全球公用能源效率基金-不配息型	TWD	7.86	8.02	-0.16
AA2	A0005	元大寶來投信	T0546B	48952816B	元大寶來全球公用能源效率基金-配息型	TWD	6.31	6.44	-0.13
AH1	A0005	元大寶來投信	0056	48966213	元大寶來台灣高股息基金	TWD	25.34	25.24	0.1
AA1	A0005	元大寶來投信	T0510Y	77537509	元大寶來多元基金	TWD	11.39	11.27	0.12
AA1	A0005	元大寶來投信	T0508Y	81584335	元大寶來高科技基金	TWD	12.89	12.69	0.2
AA1	A0005	元大寶來投信	T0509Y	83863951	元大寶來經貿基金	TWD	29.64	29.23	0.41
AA1	A0005	元大寶來投信	T0503Y	92001765	元大寶來多多基金	TWD	16.35	16.15	0.2
AA1	A0005	元大寶來投信	T0568Y	92004566	元大寶來績效基金	TWD	37.09	36.79	0.3
AD1	A0005	元大寶來投信	T0569Y	92017204	元大寶來得利貨幣市場基金	TWD	16.0337	16.0335	0.0002
AA1	A0005	元大寶來投信	T0504Y	92026219	元大寶來卓越基金	TWD	42.22	41.74	0.48
AB1	A0005	元大寶來投信	T0518Y	98636553	元大寶來雙盈基金	TWD	24.54	24.37	0.17
AH1	A0005	元大寶來投信	0050	98764389	元大寶來台灣卓越50基金	TWD	70.05	69.72	0.33
AI1	A0005	元大寶來投信	T0574Y	99346928	元大寶來台灣加權股價指數基金	TWD	19.605	19.497	0.108
AE23	A0005	元大寶來投信	T0575Y	99967974	元大寶來全球ETF穩健組合基金	TWD	14.23	14.35	-0.12
AA2	A0006	景順投信	T0609Y	14687516	景順全球康健基金	TWD	18.15	18.43	-0.28
AA1	A0006	景順投信	T0606Y	17140568	景順主流基金	TWD	16.91	16.71	0.2
AB1	A0006	景順投信	T0607Y	17606713	景順平衡基金	TWD	11.31	11.28	0.03
AC21	A0006	景順投信	T0612A	38522556A	景順人民幣新興亞太入息基金累積型新台幣	TWD	9.9963	10.0247	-0.0284
AC21	A0006	景順投信	T0612B	38522556B	景順人民幣新興亞太入息基金月配型新台幣	TWD	9.6149	9.6422	-0.0273
AC21	A0006	景順投信	T0612C	38522556C	景順人民幣新興亞太入息基金累積型美元	USD	9.7268	9.7368	-0.01
AC21	A0006	景順投信	T0612D	38522556D	景順人民幣新興亞太入息基金月配型美元	USD	9.3513	9.3609	-0.0096
AC21	A0006	景順投信	T0612E	38522556E	景順人民幣新興亞太入息基金累積型人民幣	CNY	9.8465	9.8468	-0.0003
AC21	A0006	景順投信	T0612F	38522556F	景順人民幣新興亞太入息基金月配型人民幣	CNY	9.4812	9.4815	-0.0003
AA1	A0006	景順投信	T0605Y	73989256	景順台灣科技基金	TWD	28.63	28.36	0.27
AA1	A0006	景順投信	T0601Y	92019786	景順潛力基金	TWD	31.58	31.18	0.4
AD1	A0006	景順投信	T0602Y	92025942	景順貨幣市場基金	TWD	15.7574	15.7572	0.0002
