name,code
國泰新興高收益債券基金(新台幣)-配息B,26331835B
群益中國金采平衡基金A(累積型－美元),42301416C
復華數位經濟基金,17608487
宏利亞太入息債券基金-A類型(新臺幣),25630146A
匯豐五福全球債券組合基金,48745129
華南永昌金磚高收益債券基金(月配美元),31824578F
野村全球不動產證券化基金累積型新臺幣計價,21758780A
國泰中國內需增長基金美元級別,26317735B
宏利美元高收益債券基金-B類型(新臺幣),42267986B
施羅德中國高收益債券基金(美元)-累積型,31825598C
摩根泛亞太股票入息基金累積型,38532914A
元大寶來上證50基金,31830488
宏利新興市場高收益債券基金-A類型(新臺幣),26258187A
台新中國傘型基金之台新中証消費服務領先指數基金,38527497
德銀遠東DWS多元集利組合基金分配型,25594177B
華南永昌前瞻科技基金,92016839
國泰策略高收益債券基金A,31913488A
聯博全球高收益債券基金-TA類型(人民幣),38654486D
瀚亞全球高收益債券基金A-澳幣,26257384F
富蘭克林華美新興趨勢傘型基金之天然資源組合基金,25687668
統一亞太基金,18030553
摩根絕對日本基金,48727760
保德信新興市場債券基金-月配息型(B),26263055B
匯豐中國A股匯聚基金(台幣),38482745A
華頓新興亞太債券基金B,31828693B
匯豐中國點心高收益債券基金(台幣不配息),26396604A
復華復華基金,81587889
保德信歐洲組合基金,48844280
摩根金龍收成基金,10348445
日盛亞洲高收益債券基金B,31827147B
景順人民幣新興亞太入息基金累積型美元,38522556C
群益中國高收益債券基金-美元,38621459B
第一金亞洲新興市場基金,25652648
元大寶來全球ETF穩健組合基金,99967974
台新真吉利貨幣市場基金,99949293
國泰中小成長基金,18043059
景順主流基金,17140568
群益環球金綻雙喜A(累積型-新台幣),38648529A
華頓新興亞太債券基金A,31828693A
聯博新興市場企業債券基金-A2類型(美元),31936709C
群益全球關鍵生技基金-美元,38486708B
華南永昌麒麟貨幣市場基金,13989817
第一金人民幣貨幣市場基金-新臺幣,38646796A
瑞銀亞洲全方位不動產基金,48841045
富邦台灣ETF傘型基金之富邦台灣金融指數股票型基金,48975162
瀚亞新興豐收基金A-新台幣,42266017A
惠理康和美元平衡收益基金A類型,38491420A
群益工業國入息基金B(月配型-新台幣),38531773B
富邦全球投資等級債券基金-A類型,26275812A
富蘭克林華美台股傘型基金之高科技基金,26310297
國泰新興高收益債券基金(新台幣)-不配息A,26331835A
施羅德中國高收益債券基金(美元)-分配型,31825598D
保德信金平衡基金,18044064
兆豐國際全球債券組合基金B(月配型),31829638B
野村多元資產動態平衡基金-累積類型美元計價,38653661C
國泰大中華基金,19291128
永豐中國高收益債券基金-人民幣累積類型,31842338B
華頓全球高收益債券基金B,25652470B
日盛大中華基金,48925706
日盛全球新興債券基金A,31967890A
日盛全球新興債券基金B,31967890B
群益人民幣貨幣市場基金-新臺幣,38621438A
台新亞美短期債券基金,48870809
兆豐國際中國A股基金(台幣),38592074A
元大寶來亞太政府公債指數基金(A)-不配息型,31931789A
富邦台灣ETF傘型基金之富邦台灣摩根指數股票型基金,48975156
摩根新興雙利平衡基金月配息型(美元),42299565C
富蘭克林華美全球高收益債券基金-澳幣分配型,31836244F
聯博收益傘型基金之聯博債券收益組合基金-AA類型(澳幣),38522107F
聯邦金鑽平衡基金,98669575
保德信人民幣貨幣市場基金-人民幣,38648274B
群益中小型股基金,92028997
國泰新興高收益債券基金(人民幣)-不配息A,26331835E
新光台灣富貴基金,00974241
野村ｅ科技基金,18037937
永豐人民幣貨幣市場基金-新臺幣類型,42267711A
瀚亞亞太高股息基金B-新台幣,48733897B
國泰平衡基金,18494624
富蘭克林華美全球債券組合基金-累計型,21718768A
匯豐富泰二號貨幣市場基金,97993027
宏利中國離岸債券基金-A類型(人民幣),26389097C
永豐主流品牌基金,48890039
兆豐國際全球基金,00992769
瀚亞全球高收益債券基金B-美元,26257384E
統一新亞洲科技能源基金,26318517
台新亞澳高收益債券基金(累計型)-USD,31829551C
台新台灣中小基金,81588536
國泰幸福階梯傘型基金之全球積極組合基金-台幣級別,48681504A
富蘭克林華美全球高收益債券基金-新台幣分配型,31836244B
匯豐安富基金,00971080
元大寶來大中華TMT基金-人民幣,38639090B
柏瑞亞太高股息基金-A類型,48944099A
野村雙印傘型基金之印尼潛力基金,26278389
野村歐洲高股息基金季配型,99975165B
永豐南非幣2021保本基金,38530401
野村中小基金,18488469
瀚亞中小型股基金,81595924
新光多元複合收益組合基金,31893342
景順人民幣新興亞太入息基金月配型人民幣,38522556F
凱基雲端趨勢基金,31884076
瀚亞電通網基金,17603899
瀚亞亞太高股息基金A-人民幣,48733897E
德銀遠東DWS亞洲高收益債券基金累積型,26300262A
保德信亞洲新興市場債券基金-累積型(A),26320990A
富邦中國貨幣市場基金-人民幣,38583188B
復華傳家基金,17138818
瀚亞亞太豐收平衡基金B-人民幣,38621330J
瀚亞精選傘型基金之債券精選組合基金A類型,48801000A
野村成長基金,17146752
第一金全球企業社會責任投資等級債券基金A,31887361A
第一金全球企業社會責任投資等級債券基金B,31887361B
第一金全球大趨勢基金,10338642
德盛台灣大壩基金,17604124
新光創新科技基金,81585242
元大寶來全球地產建設入息基金-配息型,48885346B
國泰高科技基金,18031960
匯豐龍騰電子基金,92017794
宏利精選中華基金(人民幣避險),48916256B
瀚亞縱橫全球高收益債券基金A類型,31902573A
瀚亞外銷基金,92012572
永豐貨幣市場基金,73982015
元大寶來全球不動產證券化基金(A)-不配息型,21718388A
華頓全球黑鑽油源基金,48712112
統一強棒貨幣市場基金,92017176
野村中國機會基金,25530596
群益安家基金,29243337
柏瑞中國平衡基金-A類型(美元),38651312C
保德信高成長基金,01032183
復華傳家二號基金,18035945
摩根第一貨幣市場基金,97991668
富邦深証100基金,42302273
宏利亞澳入息成長平衡基金-A類型(人民幣避險),38585186G
保德信好時債組合基金-月配息型(B),31832319B
匯豐成功基金,76941376
柏瑞巨人基金,20094820
匯豐中國A股匯聚基金(人民幣),38482745B
元大寶來印尼指數基金,26203846
瀚亞新興豐收基金B-新台幣,42266017B
摩根中國A股基金,31944996
柏瑞中國平衡基金-A類型,38651312A
聯博收益傘型基金之聯博債券收益組合基金-A2類型(新台幣),38522107A
惠理康和ETF入息組合基金C-美元,38533012C
日盛中國高收益債券基金(美元B),38648871F
富蘭克林華美全球高收益債券基金-人民幣累積型,31836244G
群益中國高收益債券基金-人民幣,38621459C
景順人民幣新興亞太入息基金累積型人民幣,38522556E
國泰全球基礎建設基金美元級別,48832881B
