類型代號	公司代號	公司名稱	受益憑證代號	基金統編	基金名稱	幣別	淨值	前一日淨值	漲跌
AA1	A0001	兆豐國際投信	T0102Y	00965469	兆豐國際第一基金	TWD	13.26	13.24	0.02
AB1	A0001	兆豐國際投信	T0105Y	00971976	兆豐國際萬全基金	TWD	17.7	17.71	-0.01
AA2	A0001	兆豐國際投信	T0104Y	00992769	兆豐國際全球基金	TWD	36.29	36.41	-0.12
AA1	A0001	兆豐國際投信	T0103Y	01050148	兆豐國際國民基金	TWD	23.63	23.64	-0.01
AA1	A0001	兆豐國際投信	T0110Y	10341837	兆豐國際豐台灣基金	TWD	29.66	29.73	-0.07
AA2	A0001	兆豐國際投信	T0109Y	14699772	兆豐國際生命科學基金	TWD	20.15	20.2	-0.05
AD1	A0001	兆豐國際投信	T0101Y	18044796	兆豐國際寶鑽貨幣市場基金	TWD	12.3319	12.3317	0.0002
AA2	A0001	兆豐國際投信	T0112Y	25637773	兆豐國際綠鑽基金	TWD	8.54	8.55	-0.01
AA2	A0001	兆豐國際投信	T0114Y	26278352	兆豐國際全球高股息基金	TWD	10.59	10.61	-0.02
AA2	A0001	兆豐國際投信	T0115Y	26299315	兆豐國際民生動力基金	TWD	10.43	10.49	-0.06
AE22	A0001	兆豐國際投信	T0116A	31829638A	兆豐國際全球債券組合基金A(累積型)	TWD	10.57	10.6	-0.03
AE22	A0001	兆豐國際投信	T0116Y	31829638B	兆豐國際全球債券組合基金B(月配型)	TWD	10.55	10.57	-0.02
AC23	A0001	兆豐國際投信	T0117A	31923107A	兆豐國際新興市場高收益債券基金A(累積型)	TWD	9.8659	9.8674	-0.0015
AC23	A0001	兆豐國際投信	T0117B	31923107B	兆豐國際新興市場高收益債券基金B(月配型)	TWD	8.9509	8.9522	-0.0013
AD2	A0001	兆豐國際投信	T0118Y	38522710	兆豐國際人民幣貨幣市場基金	CNY	10.3242	10.3233	0.0009
AA2	A0001	兆豐國際投信	T0119A	38592074A	兆豐國際中國A股基金(台幣)	TWD	16.63	16.66	-0.03
AA2	A0001	兆豐國際投信	T0119B	38592074B	兆豐國際中國A股基金(美金)	USD	16.28	16.3	-0.02
AA1	A0001	兆豐國際投信	T0108Y	73991751	兆豐國際電子基金	TWD	21.68	21.61	0.07
AA1	A0001	兆豐國際投信	T0107Y	81584996	兆豐國際中小基金	TWD	13.28	13.26	0.02
AD1	A0003	第一金投信	T0306Y	01032249	第一金全家福貨幣市場基金	TWD	175.543	175.541	0.002
AA2	A0003	第一金投信	T0331Y	10338642	第一金全球大趨勢基金	TWD	18.41	18.52	-0.11
AA1	A0003	第一金投信	T0318Y	15739619	第一金大中華基金	TWD	20.64	20.65	-0.01
AA2	A0003	第一金投信	T0316Y	17612378	第一金亞洲科技基金	TWD	15.95	16.01	-0.06
AA1	A0003	第一金投信	T0314Y	19341318	第一金電子基金	TWD	26.54	26.58	-0.04
AD1	A0003	第一金投信	T0310Y	20081472	第一金台灣貨幣市場基金	TWD	15.0445	15.0442	0.0003
AA1	A0003	第一金投信	T0311Y	20092528	第一金店頭市場基金	TWD	8.11	8.1	0.01
AC23	A0003	第一金投信	T0332A	25593418A	第一金全球高收益債券基金A	TWD	14.4053	14.4273	-0.022
AC23	A0003	第一金投信	T0332B	25593418B	第一金全球高收益債券基金B	TWD	10.5237	10.5398	-0.0161
AC23	A0003	第一金投信	T0332C	25593418C	第一金全球高收益債券基金A-美元	USD	9.6418	9.6565	-0.0147
AC23	A0003	第一金投信	T0332D	25593418D	第一金全球高收益債券基金B-美元	USD	9.3369	9.3511	-0.0142
AA2	A0003	第一金投信	T0334Y	25620512A	第一金中國世紀基金	TWD	12.03	12.06	-0.03
AA2	A0003	第一金投信	T0334A	25620512B	第一金中國世紀基金-人民幣	CNY	14.8	14.84	-0.04
AA2	A0003	第一金投信	T0335Y	25652648	第一金亞洲新興市場基金	TWD	11.08	11.22	-0.14
AA1	A0003	第一金投信	T0336Y	26202396	第一金創新趨勢基金	TWD	15.54	15.47	0.07
AC21	A0003	第一金投信	T0337A	26297013A	第一金新興市場投資等級債券基金A	TWD	9.1905	9.2035	-0.013
AC21	A0003	第一金投信	T0337B	26297013B	第一金新興市場投資等級債券基金B	TWD	7.4356	7.4461	-0.0105
AC21	A0003	第一金投信	T0341A	31887361A	第一金全球企業社會責任投資等級債券基金A	TWD	9.914	9.9613	-0.0473
AC21	A0003	第一金投信	T0341B	31887361B	第一金全球企業社會責任投資等級債券基金B	TWD	9.0485	9.0916	-0.0431
AB2	A0003	第一金投信	T0343A	38539992A	第一金全球多重資產入息平衡基金(累積型)	TWD	10.386	10.3988	-0.0128
AB2	A0003	第一金投信	T0343B	38539992B	第一金全球多重資產入息平衡基金(配息型)	TWD	10.1639	10.1764	-0.0125
AD2	A0003	第一金投信	T0344A	38646796A	第一金人民幣貨幣市場基金-新臺幣	TWD	9.906	9.9	0.006
AD2	A0003	第一金投信	T0344B	38646796B	第一金人民幣貨幣市場基金-人民幣	CNY	10.0807	10.0799	0.0008
AG	A0003	第一金投信	T0326A	48892846A	第一金全球不動產證券化基金A	TWD	8.016	8.1235	-0.1075
AG	A0003	第一金投信	T0326B	48892846B	第一金全球不動產證券化基金B	TWD	6.234	6.3176	-0.0836
AA1	A0003	第一金投信	T0313Y	73989002	第一金小型精選基金	TWD	27.35	27.39	-0.04
AB1	A0003	第一金投信	T0320Y	99353151	第一金中概平衡基金	TWD	20.9	20.86	0.04
AB1	A0004	匯豐中華投信	T0405Y	00971080	匯豐安富基金	TWD	22.97	23.01	-0.04
AA1	A0004	匯豐中華投信	T0408Y	01031298	匯豐龍鳳基金	TWD	43.25	43.41	-0.16
AA2	A0004	匯豐中華投信	T0417Y	18031954	匯豐太平洋精典基金	TWD	15.56	15.82	-0.26
AA2	A0004	匯豐中華投信	T0436Y	25500903	匯豐中國動力基金	TWD	16.88	17.12	-0.24
AE22	A0004	匯豐中華投信	T0438Y	25617919	匯豐雙高收益債券組合基金	TWD	11.9053	11.9146	-0.0093
AA2	A0004	匯豐中華投信	T0439Y	25651866	匯豐黃金及礦業股票型基金	TWD	4.83	4.92	-0.09
AC21	A0004	匯豐中華投信	T0440A	25695077A	匯豐資源豐富國家債券基金-累積型	TWD	9.3409	9.3779	-0.037
AC21	A0004	匯豐中華投信	T0440B	25695077B	匯豐資源豐富國家債券基金-月配型	TWD	6.8015	6.8384	-0.0369
AC23	A0004	匯豐中華投信	T0443A	26286281A	匯豐亞洲高收益債券基金-累積型	TWD	11.3077	11.3224	-0.0147
AC23	A0004	匯豐中華投信	T0443B	26286281B	匯豐亞洲高收益債券基金-月配型	TWD	9.0977	9.1124	-0.0147
AA2	A0004	匯豐中華投信	T0447Y	26335699	匯豐拉丁美洲基金	TWD	8.09	8.16	-0.07
AC23	A0004	匯豐中華投信	T0449Y	26396604A	匯豐中國點心高收益債券基金(台幣不配息)	TWD	11.2463	11.2377	0.0086
AC23	A0004	匯豐中華投信	T0449A	26396604B	匯豐中國點心高收益債券基金(人民幣不配息)	CNY	2.2781	2.2777	0.0004
AC23	A0004	匯豐中華投信	T0449B	26396604C	匯豐中國點心高收益債券基金(人民幣配息)	CNY	2.1181	2.1177	0.0004
