
類型代號	公司代號	公司名稱	基金統編	基金名稱	幣別	淨值	前一日淨值	漲跌
AA1	A0001	兆豐國際投信	00965469	兆豐國際第一基金	TWD	12.55	12.56	-0.01
AB1	A0001	兆豐國際投信	00971976	兆豐國際萬全基金	TWD	16.71	16.72	-0.01
AA2	A0001	兆豐國際投信	00992769	兆豐國際全球基金	TWD	32.25	32.04	0.21
AA1	A0001	兆豐國際投信	01050148	兆豐國際國民基金	TWD	23.51	23.5	0.01
AA1	A0001	兆豐國際投信	10341837	兆豐國際豐台灣基金	TWD	28.72	28.71	0.01
AA2	A0001	兆豐國際投信	14699772	兆豐國際生命科學基金	TWD	18.2	17.91	0.29
AD1	A0001	兆豐國際投信	18044796	兆豐國際寶鑽貨幣市場基金	TWD	12.2876	12.2874	0.0002
AA2	A0001	兆豐國際投信	25637773	兆豐國際綠鑽基金	TWD	8.82	8.8	0.02
AA2	A0001	兆豐國際投信	26278352	兆豐國際全球高股息基金	TWD	10.18	10.12	0.06
AA2	A0001	兆豐國際投信	26299315	兆豐國際民生動力基金	TWD	10.34	10.26	0.08
AE22	A0001	兆豐國際投信	31829638A	兆豐國際全球債券組合基金A(累積型)	TWD	10.54	10.55	-0.01
AE22	A0001	兆豐國際投信	31829638B	兆豐國際全球債券組合基金B(月配型)	TWD	10.51	10.52	-0.01
AC23	A0001	兆豐國際投信	31923107A	兆豐國際新興市場高收益債券基金A(累積型)	TWD	10.0689	10.0799	-0.011
AC23	A0001	兆豐國際投信	31923107B	兆豐國際新興市場高收益債券基金B(月配型)	TWD	9.3731	9.3834	-0.0103
AD2	A0001	兆豐國際投信	38522710	兆豐國際人民幣貨幣市場基金	CNY	10.136	10.1352	0.0008
AA2	A0001	兆豐國際投信	38592074A	兆豐國際中國A股基金(台幣)	TWD	10.14	10.05	0.09
AA2	A0001	兆豐國際投信	38592074B	兆豐國際中國A股基金(美金)	USD	10.07	9.98	0.09
AA1	A0001	兆豐國際投信	73991751	兆豐國際電子基金	TWD	20.58	20.55	0.03
AA1	A0001	兆豐國際投信	81584996	兆豐國際中小基金	TWD	12.82	12.82	0
AD1	A0003	第一金投信	01032249	第一金全家福貨幣市場基金	TWD	174.974	174.972	0.002
AA2	A0003	第一金投信	10338642	第一金全球大趨勢基金	TWD	17.77	17.7	0.07
AA1	A0003	第一金投信	15739619	第一金大中華基金	TWD	19.87	19.74	0.13
AA2	A0003	第一金投信	17612378	第一金亞洲科技基金	TWD	14.72	14.69	0.03
AA1	A0003	第一金投信	19341318	第一金電子基金	TWD	25.61	25.61	0
AD1	A0003	第一金投信	20081472	第一金台灣貨幣市場基金	TWD	14.9928	14.9926	0.0002
AA1	A0003	第一金投信	20092528	第一金店頭市場基金	TWD	7.65	7.64	0.01
AC23	A0003	第一金投信	25593418A	第一金全球高收益債券基金A	TWD	14.5081	14.5397	-0.0316
AC23	A0003	第一金投信	25593418B	第一金全球高收益債券基金B	TWD	10.9641	10.988	-0.0239
AC23	A0003	第一金投信	25593418C	第一金全球高收益債券基金A-美元	USD	9.8474	9.8698	-0.0224
AC23	A0003	第一金投信	25593418D	第一金全球高收益債券基金B-美元	USD	9.8474	9.8698	-0.0224
AA2	A0003	第一金投信	25620512A	第一金中國世紀基金	TWD	8	7.92	0.08
