類型代號	公司代號	公司名稱	基金統編	基金名稱	幣別	淨值	前一日淨值	漲跌
AA1	A0001	兆豐國際投信	00965469	兆豐國際第一基金	TWD	12.9	12.87	0.03
AB1	A0001	兆豐國際投信	00971976	兆豐國際萬全基金	TWD	16.95	16.92	0.03
AA2	A0001	兆豐國際投信	00992769	兆豐國際全球基金	TWD	32.56	32.51	0.05
AA1	A0001	兆豐國際投信	01050148	兆豐國際國民基金	TWD	24.08	23.99	0.09
AA1	A0001	兆豐國際投信	10341837	兆豐國際豐台灣基金	TWD	29.31	29.24	0.07
AA2	A0001	兆豐國際投信	14699772	兆豐國際生命科學基金	TWD	17.99	18.03	-0.04
AD1	A0001	兆豐國際投信	18044796	兆豐國際寶鑽貨幣市場基金	TWD	12.2847	12.284	0.0007
AA2	A0001	兆豐國際投信	25637773	兆豐國際綠鑽基金	TWD	8.94	9.04	-0.1
AA2	A0001	兆豐國際投信	26278352	兆豐國際全球高股息基金	TWD	10.09	10.15	-0.06
AA2	A0001	兆豐國際投信	26299315	兆豐國際民生動力基金	TWD	10.49	10.53	-0.04
AE22	A0001	兆豐國際投信	31829638A	兆豐國際全球債券組合基金A(累積型)	TWD	10.59	10.62	-0.03
AE22	A0001	兆豐國際投信	31829638B	兆豐國際全球債券組合基金B(月配型)	TWD	10.56	10.59	-0.03
AC23	A0001	兆豐國際投信	31923107A	兆豐國際新興市場高收益債券基金A(累積型)	TWD	10.1047	10.1278	-0.0231
AC23	A0001	兆豐國際投信	31923107B	兆豐國際新興市場高收益債券基金B(月配型)	TWD	9.4508	9.4724	-0.0216
AD2	A0001	兆豐國際投信	38522710	兆豐國際人民幣貨幣市場基金	CNY	10.1245	10.1214	0.0031
AA2	A0001	兆豐國際投信	38592074A	兆豐國際中國A股基金(台幣)	TWD	10.16	10.15	0.01
AA2	A0001	兆豐國際投信	38592074B	兆豐國際中國A股基金(美金)	USD	10.16	10.16	0
AA1	A0001	兆豐國際投信	73991751	兆豐國際電子基金	TWD	21.36	21.28	0.08
AA1	A0001	兆豐國際投信	81584996	兆豐國際中小基金	TWD	13.22	13.21	0.01
AD1	A0003	第一金投信	01032249	第一金全家福貨幣市場基金	TWD	174.937	174.928	0.009
AA2	A0003	第一金投信	10338642	第一金全球大趨勢基金	TWD	17.72	17.86	-0.14
AA1	A0003	第一金投信	15739619	第一金大中華基金	TWD	20.64	20.53	0.11
