name,code
宏利環球基金-拉丁美洲股票基金AA股,MGF15
宏利環球基金－俄羅斯股票基金AA股,MGF16
宏利環球基金－土耳其股票基金AA股,MGF17
宏利環球基金-日本增長基金A股,MGF10
宏利環球基金-亞洲股票基金A股,MGF11
宏利環球基金-新興東歐基金A股,MGF12
宏利環球基金-環球資源基金AA股,MGF13
NN(L)美國高股息基金X股美元(月配息),NNUSHDXDUSD
施羅德環球基金系列-環球債券(美元對沖)C類股份-累積單位,LGLBF
摩根日本(日圓)基金-摩根日本(日圓)(累計),JFJT
鋒裕基金-核心歐洲股票A2(歐元),PIMCEEU
施羅德環球基金系列-美國中小型股票(歐元)A1類股份-累積單位,AUMCG
施羅德環球基金系列-美國中小型股票C類股份-累積單位(歐元),AUMCF
羅素多元資產70基金B類股,IE00B05KX727
施羅德環球基金系列-歐元債券A1類股份-累積單位,IEBOG
鋒裕基金-核心歐洲股票B2,PIMCEEB
鋒裕基金-美國高息A股澳幣收益(穩定配息),PIMUSYAIASD
聯博-歐元區策略價值基金B股美元,ABESVBUSD
羅素全球策略收益基金AUDH-B類股(澳幣計價),IE00B6TGKF51
駿利資產管理基金-駿利平衡基金A股澳幣入息(對沖),JBALAAI
駿利資產管理基金-駿利美國研究基金I股歐元累計(對沖),JARAEUR
鋒裕基金-核心歐洲股票I2,PIMCEEI
柏瑞環球基金-柏瑞印度股票基金Y,AIEQY
駿利資產管理基金-駿利平衡基金A股澳幣累計(對沖),JBALAAA
摩根馬來西亞基金,JFMT
法巴百利達全球新興市場股票基金C(美元),LU0823413587
聯博-中國時機基金AD月配澳幣避險級別,ABCOPADAUDH
先機日本股票基金I類累積(日圓),SKANI09
富達基金－全球金融服務基金(A類股-美元),LU0971096721
霸菱東歐基金-I類美元累積型,BEEF-CI
先機完全回報美元債券基金I類累積(美元),SKANI04
瑞銀(盧森堡)美元高收益債券基金(美元),512729
瑞銀(盧森堡)美國精選股票基金(美元),512728
NN(L)歐元高股息基金P股歐元,NNEHDPEUR
MFS全盛基金系列-MFS全盛全球研究基金I1(美元),MFRIIU1
貝萊德中國基金A2美元,BLKCCAUT
瑞銀(盧森堡)生化股票基金(美元),512723
鋒裕基金-環球高收益U2,PIMGHYU2
貝萊德新興市場當地債券基金C2歐元,BLKLSDCT
荷寶資本成長基金-荷寶中國股票D美元,LU0374106598
聯博-新興市場多元收益基金AD月配加幣避險級別,ABEMMAADCADH
美盛QSMV歐洲收益股票基金A類股歐元增益配息型(M),IE00BQJZX200
摩根太平洋證券基金,JFPST
景順泛歐洲增長基金C股歐元,2039CC
聯博-成熟市場多元收益基金A級別美元,ABDMMAAUSD
柏瑞環球基金-柏瑞日本中小型公司股票基金Y,AJSPY
聯博-亞洲股票基金I股歐元,ABAXJIEUR
貝萊德歐洲價值型基金A4歐元,BLKEVEFA
KBI全球水資源基金(美元),IE00BCZRR312
聯博-全球價值型基金B股歐元,ABGVPBEUR
聯博-國際醫療基金A股歐元,ABIHCAEUR
PIMCO新興市場債券基金-M級類別(月收息強化股份),PIMCO-BEP
聯博-印度成長基金S級別美元,ABIGFSUSD
霸菱全球農業基金-A類歐元,BAEAA
天達環球策略基金-投資評級公司債券基金C收益-2股份(南非幣避險IRD，月配),GDH667
羅素多元資產50基金B類股,IE00B05KX610
霸菱全球資源基金-A類歐元配息型,BGRFU
柏瑞環球基金-柏瑞日本中小型公司股票基金A,AJSPA
鋒裕基金-亞洲股票(不含日本)I2(歐元),PIMPEUI
施羅德環球基金系列-環球高收益A1類股份-累積單位,IGHYG
瀚亞投資-美國高收益債券基金Aadmc1(澳幣避險穩定月配),DUA
路博邁投資基金-NB新興市場本地貨幣債券基金C2累積類股(南非幣),IE00BTLWSQ94
摩根士丹利環球可轉換債券基金AH,MSIMCBAH47
NN(L)新興市場債券基金Y股對沖級別歐元,NNEMDHYEURH
美盛西方資產美國貨幣市場基金A類股美元配息型(M),IE00B2417L25
駿利資產管理基金-駿利環球研究基金I股歐元累計(對沖),JANGRIE
景順科技基金C-年配息股美元,1067CY
聯博-日本策略價值基金BD月配級別日圓,ABJSVBDJPY
瑞銀(盧森堡)新加坡股票基金(美元),512615
摩根環球企業債券基金(美元)(存續期對沖)－D股(累計),GCBDAU
聯博-房貸收益基金AA(穩定月配)澳幣避險級別,ABMOPAAAUDH
富達基金-新興市場基金(A類股累計股份-美元),LU0261950470
富達基金－德國基金,LU0048580004
MFS全盛基金系列-MFS全盛全球研究基金A1(美元),MFMRIAA
先機日本股票基金A類累積(美元),SKANA20
聯博-新興市場成長基金C股美元,ABEMGCUSD
先機歐洲股票基金A類累積(美元),SKANA22
MFS全盛基金系列-MFS全盛美國政府債券基金I1(美元),MUSGIU1
美盛西方資產美國高收益債券基金優類股美元累積型,IE00B23Z9K88
富達基金-歐洲高收益基金(歐元累積),LU0251130802
駿利資產管理基金-駿利美國短期債券基金A美元累計,JANSTA2
景順日本價值股票基金A股日圓,2105AA
駿利資產管理基金-駿利美國短期債券基金A美元入息,JANSTA1
路博邁投資基金-NB高收益債券基金T週配息類股(美元),IE00B8B5Y742
天達環球策略基金-環球天然資源基金I累積股份,GDR544
富達基金-新興市場基金(歐元),LU0307839646
利安資金印度基金(美元),SIFU
利安資金印度基金(新元),SIFS
聯博-中國時機基金C級別歐元,ABGCHCEUR
PIMCO美國高收益債券基金-機構H級類別(累積股份),PIMCO-BHI
景順英國高質債券基金A-季配息股英鎊,2096AQ
PIMCO美國高收益債券基金-M級類別(月收息股份),PIMCO-BHM
駿利資產管理基金-駿利美國20基金B美元累計,JANTWB1
鋒裕基金-美國高息UXD,PIMUSYUXD
MFS全盛基金系列-MFS全盛歐洲研究基金IH1美元避險,MFSERIH
羅素多元資產35基金B類股,IE00B05KX503
天利投資專業基金-天利全球股票收入基金第二類淨累計(歐元),000TGEEINALN
新加坡大華東協基金(美元),USD-UNF
保德信WIP新興市場固定收益基金A,LU0084664241
瑞銀(盧森堡)策略基金-增長型(美元),601326
富達基金-全球不動產基金(歐元),LU0237697510
施羅德環球基金系列-策略債券A類股份-累積單位,ISTBD
NN(L)環球高收益基金X股美元(月配息),NNGHYXDUSD
瑞銀(盧森堡)策略基金-增長型(歐元),601323
資本集團全球債券基金(盧森堡)T(美元),CIFGBFTUSD
聯博-前瞻主題基金I股美元,ABGTRIUSD
施羅德環球基金系列-瑞士股票A1類股份-累積單位,ISWEG
鋒裕基金-新興市場股票A2,PIMEME
柏瑞環球基金-柏瑞歐洲股票基金A,AEUFA
瑞銀(盧森堡)策略基金-收益型(美元),601328
柏瑞環球基金-柏瑞拉丁美洲股票基金A,ALAFA
富蘭克林坦伯頓全球投資系列-美國政府基金美元A(acc)股,1174
路博邁投資基金-NB高收益債券基金B週配息類股(美元),IE00B8HWN052
富蘭克林坦伯頓全球投資系列－全球債券總報酬基金澳幣避險A(Mdis)-H1,1172
富蘭克林坦伯頓全球投資系列-全球債券基金澳幣避險A(Mdis)股-H1,1171
天達環球策略基金-拉丁美洲公司債券基金I累積股份,LACD972
德意志全球高股息USDLDM,LU0911038429
景順亞洲富強基金A-半年配息股美元,2003AS
聯博-全球高收益債券基金I2股歐元避險,ABGHYI2HEDGE
聯博-新興市場債券基金B2股歐元,ABEMDB2EUR
富達基金－全球實質資產基金(Y類股份累計股份-美元),LU0417495719
天達環球策略基金-環球天然資源基金I累積股份(歐元),GDR602
柏瑞環球基金-柏瑞拉丁美洲股票基金Y,ALAFY
景順亞洲富強基金A股美元,2003AA
利安資金韓國基金(美元),SKFU
貝萊德全球股票收益基金HedgedA2歐元,BLKGLIET
PIMCO美國高收益債券基金-E級類別(收息股份),PIMCO-BH4
景順消閒基金A股美元,2111AA
利安資金韓國基金(新元),SKFS
瑞銀(盧森堡)歐元基金-KC,4731689
貝萊德亞洲老虎債券基金C2美元,BLKMTIGC
荷寶資本成長基金-荷寶新興市場股票D歐元,LU0187076913
資本集團歐元債券基金(盧森堡)T,CIFEBFT
瑞銀(盧森堡)歐元債券基金,595742
景順印度股票基金A-年配息股美元,2099AY
瑞士寶盛債券基金系列-多元機會債券基金,LU0159197101
鋒裕基金-美國中型資本價值I2(歐元),PIMUSMUI
摩根東協基金(澳幣對沖)－A股(累計),ASEHAA
美盛西方資產新興市場總回報債券基金優類股美元累積型,IE00B23Z9R57
摩根東方小型企業基金,JFESCT
施羅德傘型基金II--亞洲高息股債基金(澳元對沖)A類股份-收息單位,AAAA
木星全球系列-木星印度精選基金L類股英鎊年收益,LU0329071053
利安資金新加坡均衡基金(美元),OSBU
NN(L)大中華股票基金X股美元,NNGCEXUSD
景順大中華基金A(澳幣對沖)股澳幣,2072DG
瀚亞投資─香港股票基金A(美元),IOHEUA
景順環球高收益債券基金A(歐元對沖)股歐元,1064A6
聯博-全球不動產證券基金AD股紐幣避險,ABUSREADNZDH
NN(L)環球高股息基金X股美元(月配息),NNGHDXDUSD
德意志可轉債LC,LU0179219752
法巴百利達亞洲可換股債券基金N(美元),LU0107087610
聯博-全球債券基金BA(穩定月配)澳幣避險級別,ABGBPBAAUDH
MFS全盛基金系列-MFS全盛通脹調整債券基金I1(美元),MIABIU1
美盛凱利成長基金A類股歐元累積型,IE00B19Z5R42
聯博-全球債券基金B2股美元,ABGBPB2USD
施羅德環球基金系列-亞洲可轉換債券基金A1類股份-累積單位,IACBG
聯博-美國收益基金A股美元,ABAIPAUSD
聯博-新興市場價值基金I股美元,ABEMVIUSD
MFS全盛基金系列-MFS全盛全球資產配置基金C2(美元),MFMGBC1
聯博-新興市場多元收益基金AD月配南非幣避險級別,ABEMMAADZARH
天達環球策略基金-投資評級公司債券基金C收益-2股份(歐元避險),GDHCEH
MFS全盛基金系列-MFS全盛新興市場股票基金I1(美元),MEMIUSD
貝萊德歐洲基金HedgedA2澳幣,BLKEFAAH
法巴百利達美國股票基金C(美元),LU0012181318
鋒裕基金-美國研究I2(歐元),PIMARHUI
天達環球策略基金-環球特許品牌基金C收益-2股份(月配),GFF915
天達環球策略基金-環球特許品牌基金C收益-2股份(南非幣避險IRD，月配),GFF917
百達-健康-R美元,LU0188501331
富達基金－全球電訊基金,LU0099575291
鋒裕基金-策略收益U2,PIMSTIU2
鋒裕基金-新興市場當地貨幣債券I2(歐元),PIMEMBLCIEUR
安本環球-新興市場當地貨幣債券基金A2,AEEMLCBA2
瑞士寶盛債券基金系列-多元機會債券基金(美元月配息),LU0719521006
聯博-中國時機基金AD月配歐元避險級別,ABCOPADHEDGE
聯博-新興市場債券基金S12股美元,ABEMDS12USD
瀚亞投資─印尼股票基金A(美元),IOIEUA
聯博-新興市場成長基金B股歐元,ABEMGBEUR
貝萊德環球動力股票基金C2美元,BLKGDCCU
景順環球高收益債券基金A-月配息(歐元對沖)股歐元,1064AH
聯博-印度成長基金S1股美元,ABIGFS1USD
景順亞洲平衡基金A-月配息股美元,2000AM
富蘭克林坦伯頓全球投資系列-成長(歐元)基金美元A(acc)股,0533
富達基金－英鎊債券基金,LU0048620586
瑞銀(盧森堡)巴西債券基金(美元)(月配息),12920501
鋒裕基金-新興歐洲及地中海股票B2,PIMEEEB
施羅德環球基金系列-義大利股票A1類股份-累積單位,IITEG
景順亞洲平衡基金A股美元,2000AA
瀚亞投資─M&G日本小型股基金A(歐元),MJSCEA
鋒裕基金-美元短期債券A2,PIMUSD
富達基金-美元債券基金(美元累積),LU0261947682
木星金融機會基金美元,GB0004790191USD
景順開發中市場基金C-年配息股美元,1016CY
普信全球新興市場股票型基金I(美元),TROWSE007IUSD
新加坡大華泛華基金(星幣),UCHF
景順亞洲平衡基金A-月配息股-1美元,2000AX
貝萊德世界黃金基金A2美元,BLKMGMAA
駿利資產管理基金-駿利環球房地產基金I美元入息,JANREI1
景順環球高收益債券基金A-半年配息股美元,1064AS
鋒裕基金-新興歐洲及地中海股票A2(歐元),PIMEEEU
景順亞洲平衡基金A-季配息股美元,2000AQ
歐義銳榮能源原物料基金R,LU0114064677
聯博-全球複合型股票基金S1股歐元,ABGEBS1EUR
利安資金越南基金(新元),LGVF2
富達基金-歐洲平衡基金A股累計美元避險,LU1046421449
駿利資產管理基金-駿利環球科技基金I股歐元累計(對沖),JAGTEUR
聯博-全球複合型股票基金A股歐元,ABGEBAEUR
普信全球高收益債券型基金I(美元),TROWSB005IUSD
貝萊德環球企業債券基金A6美元(穩定配息),BLKGCOAU
聯博-新興市場債券基金C股美元,ABEMDCUSD
路博邁投資基金-NB高收益債券基金T月配息類股(澳元),IE00B9276R08
匯豐環球投資基金-環球高入息債券-AC,THBCU
NN(L)歐元高股息基金X股對沖級別澳幣(月配息),NNEHDXDAUDH
景順泛歐洲基金C-年配息股歐元,2126CY
貝萊德拉丁美洲基金A2美元,BLKLAPMA
紐約梅隆環球股票投資基金AUSD,GEQUA
聯博-亞洲股票基金AD股美元,ABAXJADUSD
富蘭克林坦伯頓全球投資系列－全球債券總報酬基金歐元A(acc)股,0287
富蘭克林坦伯頓全球投資系列-美國機會基金歐元A(acc)股,0280
瑞聯UBAM歐洲股票基金美元避險IHC,LU1209508867
駿利資產管理基金-英達美國重點基金B美元累計,JANRMBD
富達基金-新興市場債券基金(Y類股份累計股份-美元),LU0238206337
法巴百利達印度股票基金C(美元),LU0823428932
美盛凱利美國增值基金優類股美元累積型,IE00B241FP29
摩根歐洲發現基金-摩根歐洲發現(歐元)-A股perf(累計),EFOAE
景順日本基金C-年配息股美元,1007CY
NN(L)拉丁美洲股票基金X股美元,NNLAEXUSD
聯博-歐洲價值型基金A股美元,ABEVPAUSD
瑞聯UBAM歐洲股票基金歐元AC,LU0045842449
富達基金-太平洋基金A股累計澳幣避險,LU1046420557
法儲銀盧米斯賽勒斯債券基金R-DMUSD,IE00B3F05Z53
匯豐環球投資基金-韓國股票AD,TGKEA
摩根美國企業成長基金－摩根美國企業成長(美元)－A股(分派),USSG
匯豐環球投資基金-韓國股票IC,TGKEC
東方匯理長鷹多重資產基金FA-C,FEAIFFAC
德意志中國股票USDLC,LU0273164177
都柏林法儲銀國際基金有限公司基金I-盧米斯賽勒斯高收益債券型基金R-AEUR,IE00B5L92821
NN(L)亞洲債券基金X股美元,NNADHXUSD
摩根環球企業債券基金(美元)─A股(累計),GCBAAU
摩根新興市場債券基金－摩根新興市場債券(美元)－A股(每月派息),EMDAMU
鋒裕基金-環球高收益T股南非幣收益(穩定配息),PIMGHYZITSD
PIMCO全球高收益債券基金-機構H級類別(累積股份),PIMCO-BYI
聯博-新興市場債券基金BT股澳幣避險,ABEMDBTAUDH
鋒裕基金-新興市場債券A2(歐元),PIMEMBUA2
新加坡大華全球資源基金(星幣),UGRF
富達基金-亞洲小型企業基金A股累計歐元,LU0702159772
瑞銀(盧森堡)新興市場短期債券基金(美元),345234
施羅德環球基金系列-英國股票A1類股份-累積單位,IUKEG
施羅德環球基金系列-英國股票C類股份-累積單位,IUKEF
施羅德環球基金系列-亞洲優勢A類股份-配息單位,IPEQA
施羅德環球基金系列-亞洲優勢C類股份-累積單位,IPEQF
施羅德環球基金系列-亞洲優勢A1類股份-累積單位,IPEQG
施羅德環球基金系列-亞洲優勢A類股份-累積單位,IPEQD
歐義銳榮日本債券基金RH,LU0114033284
富蘭克林坦伯頓全球投資系列－全球債券基金歐元A(Ydis)股,0661
美盛西方資產亞洲機會債券基金優類股美元配息型(M),IE00B7T3S609
富蘭克林坦伯頓全球投資系列－全球債券總報酬基金歐元A(Ydis)股,0663
景順歐洲企業債券基金C股歐元,2033CC
鋒裕基金-策略收益A股南非幣收益(穩定配息),PIMSTIZIASD
施羅德環球基金系列-歐洲收益股票A1類股份-配息單位,IEEGJ
首域環球傘型基金-首域全球新興市場領先基金-第四類股-USD,FSIFGEML4
施羅德環球基金系列-歐洲收益股票C類股份-配息單位,IEEGC
施羅德環球基金系列-歐洲收益股票A1類股份-累積單位,IEEGG
施羅德環球基金系列-歐洲收益股票C類股份-累積單位,IEEGF
路博邁投資基金-NB高收益債券基金C2週配息類股(美元),IE00B7VT9G37
聯博-新興市場債券基金AT股加幣避險,ABEMDATCADH
景順太平洋基金A-年配息股美元,1001AY
施羅德環球基金系列-環球進取股票A1類股份-累積單位,IGEAG
施羅德環球基金系列-環球進取股票C類股份-累積單位,IGEAF
駿利資產管理基金-駿利平衡基金I股歐元累計(對沖),JAUSBEU
霸菱新興市場當地貨幣債券基金-A類美元累積型,EMACC
貝萊德新興市場基金A2美元,BLKMEMAA
瑞銀(盧森堡)中國精選股票基金(美元)(月配息),26276928
天利(盧森堡)-新興市場債券基金I(歐元避險),000AMXEMDIEH
瑞銀(盧森堡)歐元高收益債券基金(歐元)(月配息),818577
瀚亞投資─美國複合收益債券基金Aadm(澳幣避險月配),IUSBAA
霸菱國際債券基金-A類歐元配息型,BHBFU
摩根美國基金-摩根美國(澳幣)-A股(累計),AMFAAA
摩根投資基金環球股息基金-摩根環球股息(美元對沖)-A股(每月派息),GDDAMU
德盛亞洲總回報股票基金-AM穩定月收類股(澳幣避險),AGIF-TRP
摩根南韓基金,JFKOR
摩根環球高收益債券基金－摩根環球高收益債券(美元)－A股(每月派息),GHYAMU
聯博-全球價值型基金I股歐元,ABGVPIEUR
富達基金-歐洲入息基金A股歐元,LU0353647653
英傑華投資-歐洲不動產證券基金I,1507LU0160782800
施羅德環球基金系列-拉丁美洲A1類股份-累積單位,ILAMG
美盛布蘭迪全球固定收益基金A類股美元配息型(M),IE00B556SN66
聯博-日本策略價值基金S1股美元避險,ABJSVS1USDH
聯博-房貸收益基金CX級別歐元,ABSMDCEUR
鋒裕基金-核心歐洲股票B2(歐元),PIMCEEUB
MFS全盛基金系列-MFS全盛新興市場股票基金A1(美元),MEMEUSD
瀚亞投資─M&G日本基金A(歐元),MJAPEA
德盛泰國基金,AGIF-TST
德盛韓國基金,AGIF-TSK
保德信WIP新興市場固定收益基金I,LU0111635727
施羅德環球基金系列-歐洲收益股票(美元對沖)A1類股份-配息單位,LEEGN
施羅德環球基金系列-歐洲收益股票(美元對沖)A1類股份-累積單位,LEEGM
德盛中國基金─A配息類股(美元),AGIF-TSC
施羅德環球基金系列-歐洲收益股票(美元對沖)A類股份-配息單位,LEEGA
紐約梅隆環球債券投資基金AUSD,MGBUA
富達基金-北歐基金A股累計美元避險,LU0997586861
聯博-中國時機基金B級別美元,ABGCHBUSD
聯博-美國收益基金C2股美元,ABAIPC2USD
先機環球股票基金I類累積(美元),SKANI19
NN(L)全球機會股票基金P股歐元,NNGEOPEUR
景順亞洲動力基金C股美元,1040CC
先機新興市場債券基金B類收益股(美元),SKANB62
先機美國入息基金I類累積(美元),SKANI15
先機北美股票基金I類累積(美元),SKANI16
先機全球新興市場基金B類累積(美元),SKANB66
先機新興市場本地貨幣債券基金B類累積(美元),SKANB67
先機新興市場本地貨幣債券基金B類收益股(美元),SKANB64
路博邁投資基金-NB高收益債券基金E累積類股(南非幣),IE00BNJZT544
霸菱大東協基金-I類美元累積型,HBPF-CI
天利(盧森堡)-新興市場公司債券基金I(美元),000AMGEMIU
富達基金-國際基金(歐元),LU0069451390
聯博-新興市場債券基金AT股歐元,ABEMDATEUR
美盛西方資產美國高收益債券基金A類股美元增益配息型(M),IE00B7T2MC11
景順亞洲動力基金C-年配息股美元,1040CY
聯博-新興市場債券基金B2股美元,ABEMDB2USD
木星金融機會基金英鎊,GB0004790191GBP
景順英國動力基金C-年配息股英鎊,1061CY
鋒裕基金-歐陸股票I2(歐元),PIMELEUI
安本環球-亞太股票基金A2,AEASE
摩根新興市場本地貨幣債券(美元)─A股(累計),EMLCAU
法巴百利達全球公用事業股票基金-月配(美元),LU0950376581
鋒裕基金-環球高收益B股澳幣收益(穩定配息),PIMGHYAIBSD
天利(盧森堡)-環球資產配置基金(美元),000EPCGSBI
新加坡大華全球保健基金(美元),USD-UGHF
資本集團歐元債券基金(盧森堡)T(美元),CIFEBFTUSD
匯豐環球投資基金-拉丁美洲股票IC,TLAIC
鋒裕基金-歐洲研究A2,PIMERH
施羅德環球基金系列-中東海灣C類股份-累積單位,IMIDF
施羅德環球基金系列-中東海灣A1類股份-累積單位,IMIDG
聯博-美國成長基金AD月配級別美元,ABAGPADUSD
聯博-全球債券基金A2股歐元,ABGBPA2EUR
貝萊德環球小型企業基金A2歐元,BLKCAPEA
貝萊德環球高收益債券基金HedgedA3歐元,BLKJHYAA
景順天下地產證券基金A(歐元對沖)股歐元,1025A6
路博邁投資基金-NB美國房地產基金E累積類股(澳幣),IE00BNK02P90
路博邁投資基金-NB高收益債券基金C2月配息類股(美元),IE00B9276T22
富達基金－全球實質資產基金(美元累積),LU0417495479
