基金名稱,基金英文名稱,基金種類,基金投資區域,基金規模,基金幣別,基金總代理名稱,境外基金機構
天利(盧森堡)-環球資產配置基金I(美元),Threadneedle(Lux)-GLOBALASSETALLOCATIONFUND-CLASSIU-USD,平衡型(混合型)-平衡型(混合型),全球-混合,0.031203,美元,華頓證券投資信託股份有限公司,天利管理(盧森堡)有限公司-THREADNEEDLEMANAGEMENTLUXEMBOURGS.A.
天利(盧森堡)-環球資產配置基金I(歐元),Threadneedle(Lux)-GLOBALASSETALLOCATIONFUND-CLASSIU-EUR,平衡型(混合型)-平衡型(混合型),全球-混合,0.929489,歐元,華頓證券投資信託股份有限公司,天利管理(盧森堡)有限公司-THREADNEEDLEMANAGEMENTLUXEMBOURGS.A.
天利(盧森堡)-美國選擇基金(美元),Threadneedle(Lux)-AMERICANSELECT-CLASSAU-USD,股票型-一般型,單一國家-美國,5.678162,美元,華頓證券投資信託股份有限公司,天利管理(盧森堡)有限公司-THREADNEEDLEMANAGEMENTLUXEMBOURGS.A.
天利(盧森堡)-美國選擇基金(歐元),Threadneedle(Lux)-AMERICANSELECT-CLASSAU-EUR,股票型-一般型,單一國家-美國,0.337035,歐元,華頓證券投資信託股份有限公司,天利管理(盧森堡)有限公司-THREADNEEDLEMANAGEMENTLUXEMBOURGS.A.
天利(盧森堡)-美國選擇基金(歐元避險),Threadneedle(Lux)-AMERICANSELECT-CLASSAEH-EUR,股票型-一般型,單一國家-美國,0.575032,歐元,華頓證券投資信託股份有限公司,天利管理(盧森堡)有限公司-THREADNEEDLEMANAGEMENTLUXEMBOURGS.A.
天利(盧森堡)-美國選擇基金I(歐元避險),Threadneedle(Lux)-AMERICANSELECT-CLASSIEH,股票型-一般型,單一國家-美國,0.352804,歐元,華頓證券投資信託股份有限公司,天利管理(盧森堡)有限公司-THREADNEEDLEMANAGEMENTLUXEMBOURGS.A.
天利(盧森堡)-美國選擇基金I(美元),Threadneedle(Lux)-AMERICANSELECT-CLASSIU,股票型-一般型,單一國家-美國,0,美元,華頓證券投資信託股份有限公司,天利管理(盧森堡)有限公司-THREADNEEDLEMANAGEMENTLUXEMBOURGS.A.
天利(盧森堡)-美國選擇基金I(歐元),Threadneedle(Lux)-AMERICANSELECT-CLASSIU-EUR,股票型-一般型,單一國家-美國,0,歐元,華頓證券投資信託股份有限公司,天利管理(盧森堡)有限公司-THREADNEEDLEMANAGEMENTLUXEMBOURGS.A.
天利(盧森堡)-新興市場公司債券基金I(歐元避險),Threadneedle(Lux)-EMERGINGMARKETCORPORATEBONDS-CLASSIEH-EUR,固定收益型-新興市場債,全球-新興市場,9.081035,歐元,華頓證券投資信託股份有限公司,天利管理(盧森堡)有限公司-THREADNEEDLEMANAGEMENTLUXEMBOURGS.A.
天利(盧森堡)-全球能源股票基金(美元),Threadneedle(Lux)-GLOBALENERGYEQUITIES-CLASSAU-USD,股票型-能源,全球-混合,12.065143,美元,華頓證券投資信託股份有限公司,天利管理(盧森堡)有限公司-THREADNEEDLEMANAGEMENTLUXEMBOURGS.A.
天利(盧森堡)-全球能源股票基金(歐元),Threadneedle(Lux)-GLOBALENERGYEQUITIES-CLASSAU-EUR,股票型-能源,全球-混合,2.336023,歐元,華頓證券投資信託股份有限公司,天利管理(盧森堡)有限公司-THREADNEEDLEMANAGEMENTLUXEMBOURGS.A.
天利(盧森堡)-全球能源股票基金(歐元避險),Threadneedle(Lux)-GLOBALENERGYEQUITIES-CLASSAEH-EUR,股票型-能源,全球-混合,8.678879,歐元,華頓證券投資信託股份有限公司,天利管理(盧森堡)有限公司-THREADNEEDLEMANAGEMENTLUXEMBOURGS.A.
天利(盧森堡)-美國高收入債券基金(美元),Threadneedle(Lux)-US$HIGHINCOMEBONDS-AU-USD,固定收益型-高收益債券,單一國家-美國,2.285659,美元,華頓證券投資信託股份有限公司,天利管理(盧森堡)有限公司-THREADNEEDLEMANAGEMENTLUXEMBOURGS.A.
天利(盧森堡)-美國高收入債券基金(歐元),Threadneedle(Lux)-US$HIGHINCOMEBONDS-AU-EUR,固定收益型-高收益債券,單一國家-美國,0.432164,歐元,華頓證券投資信託股份有限公司,天利管理(盧森堡)有限公司-THREADNEEDLEMANAGEMENTLUXEMBOURGS.A.
天利(盧森堡)-美國高收入債券基金(歐元避險),Threadneedle(Lux)-US$HIGHINCOMEBONDS-AEH-EUR,固定收益型-高收益債券,單一國家-美國,4.047022,歐元,華頓證券投資信託股份有限公司,天利管理(盧森堡)有限公司-THREADNEEDLEMANAGEMENTLUXEMBOURGS.A.
天利(盧森堡)-美國高收入債券基金(美元配息),Threadneedle(Lux)-US$HIGHINCOMEBONDS-AUP-USD,固定收益型-高收益債券,單一國家-美國,5.093675,美元,華頓證券投資信託股份有限公司,天利管理(盧森堡)有限公司-THREADNEEDLEMANAGEMENTLUXEMBOURGS.A.
天利(盧森堡)-全球新興市場短期債券基金(美元),Threadneedle(Lux)-GLOBALEMERGINGMARKETSHORT-TERMBONDS-AU-USD,固定收益型-新興市場債,全球-新興市場,1.632898,美元,華頓證券投資信託股份有限公司,天利管理(盧森堡)有限公司-THREADNEEDLEMANAGEMENTLUXEMBOURGS.A.
天利(盧森堡)-全球新興市場短期債券基金(歐元),Threadneedle(Lux)-GLOBALEMERGINGMARKETSHORT-TERMBONDS-AU-EUR,固定收益型-新興市場債,全球-新興市場,0.6242,歐元,華頓證券投資信託股份有限公司,天利管理(盧森堡)有限公司-THREADNEEDLEMANAGEMENTLUXEMBOURGS.A.
天利(盧森堡)-全球新興市場短期債券基金(歐元避險),Threadneedle(Lux)-GLOBALEMERGINGMARKETSHORT-TERMBONDS-AEH-EUR,固定收益型-新興市場債,全球-新興市場,9.752395,歐元,華頓證券投資信託股份有限公司,天利管理(盧森堡)有限公司-THREADNEEDLEMANAGEMENTLUXEMBOURGS.A.
天利(盧森堡)-全球新興市場短期債券基金(歐元避險配息),Threadneedle(Lux)-GLOBALEMERGINGMARKETSHORT-TERMBONDS-AEC-EUR,固定收益型-新興市場債,全球-新興市場,6.185343,歐元,華頓證券投資信託股份有限公司,天利管理(盧森堡)有限公司-THREADNEEDLEMANAGEMENTLUXEMBOURGS.A.
天利(盧森堡)-全球新興市場短期債券基金(美元配息),Threadneedle(Lux)-GLOBALEMERGINGMARKETSHORT-TERMBONDS-AUP-USD,固定收益型-新興市場債,全球-新興市場,29.437497,美元,華頓證券投資信託股份有限公司,天利管理(盧森堡)有限公司-THREADNEEDLEMANAGEMENTLUXEMBOURGS.A.
天利(盧森堡)-全球新興市場短期債券基金I(歐元避險),Threadneedle(Lux)-GLOBALEMERGINGMARKETSHORT-TERMBONDS-IEH-EUR,固定收益型-新興市場債,全球-新興市場,18.906787,歐元,華頓證券投資信託股份有限公司,天利管理(盧森堡)有限公司-THREADNEEDLEMANAGEMENTLUXEMBOURGS.A.
天利(盧森堡)-新興市場公司債券基金(美元),Threadneedle(Lux)-EMERGINGMARKETCORPORATEBONDS-CLASSAU-USD,固定收益型-新興市場債,全球-新興市場,0.200622,美元,華頓證券投資信託股份有限公司,天利管理(盧森堡)有限公司-THREADNEEDLEMANAGEMENTLUXEMBOURGS.A.
天利(盧森堡)-新興市場公司債券基金(歐元),Threadneedle(Lux)-EMERGINGMARKETCORPORATEBONDS-CLASSAU-EUR,固定收益型-新興市場債,全球-新興市場,0.053008,歐元,華頓證券投資信託股份有限公司,天利管理(盧森堡)有限公司-THREADNEEDLEMANAGEMENTLUXEMBOURGS.A.
天利(盧森堡)-新興市場公司債券(歐元避險),Threadneedle(Lux)-EMERGINGMARKETCORPORATEBONDS-CLASSAEH-EUR,固定收益型-新興市場債,全球-新興市場,10.165297,歐元,華頓證券投資信託股份有限公司,天利管理(盧森堡)有限公司-THREADNEEDLEMANAGEMENTLUXEMBOURGS.A.
天利(盧森堡)-新興市場公司債券(歐元避險配息),Threadneedle(Lux)-EmergingMarketCorporateBonds-ClassAEC-EUR,固定收益型-新興市場債,全球-新興市場,8.696203,歐元,華頓證券投資信託股份有限公司,天利管理(盧森堡)有限公司-THREADNEEDLEMANAGEMENTLUXEMBOURGS.A.
天利(盧森堡)-新興市場公司債券(美元配息),Threadneedle(Lux)-EMERGINGMARKETCORPORATEBONDS-CLASSAUP-USD,固定收益型-新興市場債,全球-新興市場,10.367735,美元,華頓證券投資信託股份有限公司,天利管理(盧森堡)有限公司-THREADNEEDLEMANAGEMENTLUXEMBOURGS.A.
天利(盧森堡)-新興市場公司債券基金I(美元),Threadneedle(Lux)-EMERGINGMARKETCORPORATEBONDS-CLASSIU-USD,固定收益型-新興市場債,全球-新興市場,11.32225,美元,華頓證券投資信託股份有限公司,天利管理(盧森堡)有限公司-THREADNEEDLEMANAGEMENTLUXEMBOURGS.A.
天利(盧森堡)-北美基金I(歐元避險),Threadneedle(Lux)-American-CLASSIEH-EUR,股票型-一般型,單一國家-美國,6.797477,歐元,華頓證券投資信託股份有限公司,天利管理(盧森堡)有限公司-THREADNEEDLEMANAGEMENTLUXEMBOURGS.A.
天利(盧森堡)-新興市場債券基金I(歐元避險),Threadneedle(Lux)-EMERGINGMARKETDEBT-CLASSIEH-EUR,固定收益型-新興市場債,全球-新興市場,32.153364,歐元,華頓證券投資信託股份有限公司,天利管理(盧森堡)有限公司-THREADNEEDLEMANAGEMENTLUXEMBOURGS.A.
天利(盧森堡)-新興市場債券基金(美元),Threadneedle(Lux)-EMERGINGMARKETDEBT-CLASSAU-USD,固定收益型-新興市場債,全球-新興市場,6.642813,美元,華頓證券投資信託股份有限公司,天利管理(盧森堡)有限公司-THREADNEEDLEMANAGEMENTLUXEMBOURGS.A.
天利(盧森堡)-新興市場債券基金(歐元),Threadneedle(Lux)-EMERGINGMARKETDEBT-CLASSAU-EUR,固定收益型-新興市場債,全球-新興市場,0.21151,歐元,華頓證券投資信託股份有限公司,天利管理(盧森堡)有限公司-THREADNEEDLEMANAGEMENTLUXEMBOURGS.A.
天利(盧森堡)-新興市場債券基金(歐元避險),Threadneedle(Lux)-EMERGINGMARKETDEBT-CLASSAEH-EUR,固定收益型-新興市場債,全球-新興市場,0.791957,歐元,華頓證券投資信託股份有限公司,天利管理(盧森堡)有限公司-THREADNEEDLEMANAGEMENTLUXEMBOURGS.A.
天利(盧森堡)-新興市場債券基金(歐元避險配息),Threadneedle(Lux)-EMERGINGMARKETDEBT-CLASSAEC-EUR,固定收益型-新興市場債,全球-新興市場,1.299617,歐元,華頓證券投資信託股份有限公司,天利管理(盧森堡)有限公司-THREADNEEDLEMANAGEMENTLUXEMBOURGS.A.
天利(盧森堡)-新興市場債券基金(美元配息),Threadneedle(Lux)-EMERGINGMARKETDEBT-CLASSAUP-USD,固定收益型-新興市場債,全球-新興市場,105.836789,美元,華頓證券投資信託股份有限公司,天利管理(盧森堡)有限公司-THREADNEEDLEMANAGEMENTLUXEMBOURGS.A.
天利(盧森堡)-泛歐洲股票基金(歐元),Threadneedle(Lux)-PANEUROPEANEQUITIES-CLASSAE-EUR,股票型-一般型,區域-已開發歐洲,41.252394,歐元,華頓證券投資信託股份有限公司,天利管理(盧森堡)有限公司-THREADNEEDLEMANAGEMENTLUXEMBOURGS.A.
天利(盧森堡)-泛歐洲股票基金(美元),Threadneedle(Lux)-PANEUROPEANEQUITIES-CLASSAE-USD,股票型-一般型,區域-已開發歐洲,5.050041,美元,華頓證券投資信託股份有限公司,天利管理(盧森堡)有限公司-THREADNEEDLEMANAGEMENTLUXEMBOURGS.A.
天利(盧森堡)-泛歐洲股票基金I(歐元),Threadneedle(Lux)-PANEUROPEANEQUITIES-CLASSIE-EUR,股票型-一般型,區域-已開發歐洲,47.797226,歐元,華頓證券投資信託股份有限公司,天利管理(盧森堡)有限公司-THREADNEEDLEMANAGEMENTLUXEMBOURGS.A.
天利(盧森堡)-泛歐洲股票基金I(美元),Threadneedle(Lux)-PANEUROPEANEQUITIES-CLASSIE-USD,股票型-一般型,區域-已開發歐洲,0,美元,華頓證券投資信託股份有限公司,天利管理(盧森堡)有限公司-THREADNEEDLEMANAGEMENTLUXEMBOURGS.A.
天利(盧森堡)-環球資產配置基金(美元),Threadneedle(Lux)-GLOBALASSETALLOCATIONFUND-CLASSAU-USD,平衡型(混合型)-平衡型(混合型),全球-混合,16.205486,美元,華頓證券投資信託股份有限公司,天利管理(盧森堡)有限公司-THREADNEEDLEMANAGEMENTLUXEMBOURGS.A.
天利(盧森堡)-環球資產配置基金(歐元),Threadneedle(Lux)-GLOBALASSETALLOCATIONFUND-CLASSAU-EUR,平衡型(混合型)-平衡型(混合型),全球-混合,12.58167,歐元,華頓證券投資信託股份有限公司,天利管理(盧森堡)有限公司-THREADNEEDLEMANAGEMENTLUXEMBOURGS.A.
天利(盧森堡)-環球資產配置基金(歐元避險),Threadneedle(Lux)-GLOBALASSETALLOCATIONFUND-CLASSAEH-EUR,平衡型(混合型)-平衡型(混合型),全球-混合,17.919953,歐元,華頓證券投資信託股份有限公司,天利管理(盧森堡)有限公司-THREADNEEDLEMANAGEMENTLUXEMBOURGS.A.
天利(盧森堡)-環球資產配置基金(歐元避險配息),Threadneedle(Lux)-GLOBALASSETALLOCATIONFUND-CLASSAEC-EUR,平衡型(混合型)-平衡型(混合型),全球-混合,1.029248,歐元,華頓證券投資信託股份有限公司,天利管理(盧森堡)有限公司-THREADNEEDLEMANAGEMENTLUXEMBOURGS.A.
天利(盧森堡)-環球資產配置基金(美元配息),Threadneedle(Lux)-GLOBALASSETALLOCATIONFUND-CLASSAUP-USD,平衡型(混合型)-平衡型(混合型),全球-混合,17.651152,美元,華頓證券投資信託股份有限公司,天利管理(盧森堡)有限公司-THREADNEEDLEMANAGEMENTLUXEMBOURGS.A.
天利(盧森堡)-北美基金(美元),Threadneedle(Lux)-American-CLASSAU-USD,股票型-一般型,單一國家-美國,42.274265,美元,華頓證券投資信託股份有限公司,天利管理(盧森堡)有限公司-THREADNEEDLEMANAGEMENTLUXEMBOURGS.A.
天利(盧森堡)-北美基金(歐元),Threadneedle(Lux)-American-CLASSAU-EUR,股票型-一般型,單一國家-美國,4.875035,歐元,華頓證券投資信託股份有限公司,天利管理(盧森堡)有限公司-THREADNEEDLEMANAGEMENTLUXEMBOURGS.A.
天利(盧森堡)-北美基金(歐元避險),Threadneedle(Lux)-American-CLASSAEH-EUR,股票型-一般型,單一國家-美國,5.541303,歐元,華頓證券投資信託股份有限公司,天利管理(盧森堡)有限公司-THREADNEEDLEMANAGEMENTLUXEMBOURGS.A.
天利(盧森堡)-北美基金I(美元),Threadneedle(Lux)-American-CLASSIU-USD,股票型-一般型,單一國家-美國,54.177521,美元,華頓證券投資信託股份有限公司,天利管理(盧森堡)有限公司-THREADNEEDLEMANAGEMENTLUXEMBOURGS.A.
天利(盧森堡)-北美基金I(歐元),Threadneedle(Lux)-American-CLASSIU-EUR,股票型-一般型,單一國家-美國,1.155459,歐元,華頓證券投資信託股份有限公司,天利管理(盧森堡)有限公司-THREADNEEDLEMANAGEMENTLUXEMBOURGS.A.
天利(盧森堡)-全球焦點基金(美元),Threadneedle(Lux)-GlobalFocus-ClassAU-USD,股票型-一般型,全球-混合,7.962189,美元,華頓證券投資信託股份有限公司,天利管理(盧森堡)有限公司-THREADNEEDLEMANAGEMENTLUXEMBOURGS.A.
天利(盧森堡)-全球焦點基金(歐元),Threadneedle(Lux)-GlobalFocus-ClassAU-EUR,股票型-一般型,全球-混合,6.165887,歐元,華頓證券投資信託股份有限公司,天利管理(盧森堡)有限公司-THREADNEEDLEMANAGEMENTLUXEMBOURGS.A.
天利(盧森堡)-全球焦點基金(歐元避險),Threadneedle(Lux)-GlobalFocus-ClassAEH-EUR,股票型-一般型,全球-混合,18.146858,歐元,華頓證券投資信託股份有限公司,天利管理(盧森堡)有限公司-THREADNEEDLEMANAGEMENTLUXEMBOURGS.A.
天利(盧森堡)-新興市場債券基金(上銀金鑽類股美元),Threadneedle(Lux)-EMERGINGMARKETDEBT-CLASSSU-USD,固定收益型-新興市場債,全球-新興市場,0.103516,美元,華頓證券投資信託股份有限公司,天利管理(盧森堡)有限公司-THREADNEEDLEMANAGEMENTLUXEMBOURGS.A.
天利(盧森堡)-新興市場債券基金(上銀金鑽類股歐元),Threadneedle(Lux)-EMERGINGMARKETDEBT-CLASSSU-EUR,固定收益型-新興市場債,全球-新興市場,0.02793,歐元,華頓證券投資信託股份有限公司,天利管理(盧森堡)有限公司-THREADNEEDLEMANAGEMENTLUXEMBOURGS.A.
天利(盧森堡)-新興市場債券基金(上銀金鑽類股美元配息),Threadneedle(Lux)-EMERGINGMARKETDEBT-CLASSSUP-USD,固定收益型-新興市場債,全球-新興市場,3.74817,美元,華頓證券投資信託股份有限公司,天利管理(盧森堡)有限公司-THREADNEEDLEMANAGEMENTLUXEMBOURGS.A.
天利投資專業基金-天利全球股票收入基金第二類淨累計(美元),ThreadneedleSpecialistInvestmentFundsICVC-GlobalEquityIncomeFundclass2AccumulationUSD,股票型-一般型,全球-混合,192.010272,美元,華頓證券投資信託股份有限公司,THREADNEEDLEINVESTMENTSERVICESLIMITED
天利投資專業基金-天利全球股票收入基金第二類淨收入(美元),ThreadneedleSpecialistInvestmentFundsICVC-GlobalEquityIncomeFundclass2IncomeUSD,股票型-一般型,全球-混合,2.71994,美元,華頓證券投資信託股份有限公司,THREADNEEDLEINVESTMENTSERVICESLIMITED
天利投資專業基金-天利全球股票收入基金第一類淨累計(美元),ThreadneedleSpecialistInvestmentFundsICVC-GlobalEquityIncomeFundclass1AccumulationUSD,股票型-一般型,全球-混合,67.782118,美元,華頓證券投資信託股份有限公司,THREADNEEDLEINVESTMENTSERVICESLIMITED
天利投資專業基金-天利全球股票收入基金第一類淨收入(美元),ThreadneedleSpecialistInvestmentFundsICVC-GlobalEquityIncomeFundclass1IncomeUSD,股票型-一般型,全球-混合,69.578407,美元,華頓證券投資信託股份有限公司,THREADNEEDLEINVESTMENTSERVICESLIMITED
天利投資專業基金-天利全球股票收入基金第二類淨累計(歐元),ThreadneedleSpecialistInvestmentFundsICVC-GlobalEquityIncomeFundclass2AccumulationEUR,股票型-一般型,全球-混合,63.135384,歐元,華頓證券投資信託股份有限公司,THREADNEEDLEINVESTMENTSERVICESLIMITED
天利投資專業基金-天利全球股票收入基金第二類淨收入(歐元),ThreadneedleSpecialistInvestmentFundsICVC-GlobalEquityIncomeFundclass2IncomeEUR,股票型-一般型,全球-混合,144.426018,歐元,華頓證券投資信託股份有限公司,THREADNEEDLEINVESTMENTSERVICESLIMITED
天利投資專業基金-天利全球股票收入基金第一類淨累計(歐元),ThreadneedleSpecialistInvestmentFundsICVC-GlobalEquityIncomeFundclass1AccumulationEUR,股票型-一般型,全球-混合,91.076403,歐元,華頓證券投資信託股份有限公司,THREADNEEDLEINVESTMENTSERVICESLIMITED
天利投資專業基金-天利全球股票收入基金第一類淨收入(歐元),ThreadneedleSpecialistInvestmentFundsICVC-GlobalEquityIncomeFundclass1IncomeEUR,股票型-一般型,全球-混合,26.293203,歐元,華頓證券投資信託股份有限公司,THREADNEEDLEINVESTMENTSERVICESLIMITED
天利(盧森堡)-美國高收入債券基金I(歐元避險),Threadneedle(Lux)-US$HIGHINCOMEBONDS-IEH-EUR,固定收益型-高收益債券,單一國家-美國,4.758837,歐元,華頓證券投資信託股份有限公司,天利管理(盧森堡)有限公司-THREADNEEDLEMANAGEMENTLUXEMBOURGS.A.
生H股指數股票型基金,HangSengH-ShareIndexETF,指數股票型(ETF)-股票型,單一國家-香港,0,港幣,匯豐中華證券投資信託股份有限公司,生投資管理有限公司
生指數股票型基金,HangSengIndexETF,指數股票型(ETF)-股票型,單一國家-香港,0,港幣,匯豐中華證券投資信託股份有限公司,生投資管理有限公司
標智上證50中國指數基金,W.I.S.E.-SSE50ChinaTracker,指數股票型(ETF)-股票型,區域-中國大陸及香港,0,港幣,凱基證券投資信託股份有限公司,中銀國際英國保誠資產管理有限公司-BOCI-PRUDENTIALASSETMANAGEMENTLIMITED
富蘭克林坦伯頓全球投資系列-全球核心策略基金歐元A(Ydis)股,FranklinTempletonInvestmentFunds-FranklinGlobalFundamentalStrategiesFundClassA(Ydis)EUR,平衡型(混合型)-平衡型(混合型),全球-混合,537.767414,歐元,富蘭克林證券投資顧問股份有限公司,富蘭克林顧問公司.富蘭克林互利顧問公司.坦伯頓全球顧問公司及富蘭克林坦伯頓投資管理公司共同管理
富蘭克林坦伯頓全球投資系列-全球核心策略基金美元A(acc)股,FranklinTempletonInvestmentFunds-FranklinGlobalFundamentalStrategiesFundClassA(acc)USD,平衡型(混合型)-平衡型(混合型),全球-混合,218.952610,美元,富蘭克林證券投資顧問股份有限公司,富蘭克林顧問公司.富蘭克林互利顧問公司.坦伯頓全球顧問公司及富蘭克林坦伯頓投資管理公司共同管理
富蘭克林坦伯頓全球投資系列-全球核心策略基金歐元A(acc)股,FranklinTempletonInvestmentFunds-FranklinGlobalFundamentalStrategiesFundClassA(acc)EUR,平衡型(混合型)-平衡型(混合型),全球-混合,624.249988,歐元,富蘭克林證券投資顧問股份有限公司,富蘭克林顧問公司.富蘭克林互利顧問公司.坦伯頓全球顧問公司及富蘭克林坦伯頓投資管理公司共同管理
富蘭克林坦伯頓全球投資系列-泰國基金美元B(acc)股,FranklinTempletonInvestmentFunds-TempletonThailandFundClassB(acc)USD,股票型-一般型,單一國家-泰國,5.416751,美元,富蘭克林證券投資顧問股份有限公司,坦伯頓資產管理公司-TEMPLETONASSETMANAGEMENTLTD.
富蘭克林坦伯頓全球投資系列-中小型企業基金美元B(acc)股,TempletonGlobalSmallerCompaniesFundClassB(acc)USD,股票型-中小型,全球-混合,2.223226,美元,富蘭克林證券投資顧問股份有限公司,富蘭克林坦伯頓投資公司-FRANKLINTEMPLETONINVESTMENTSCORP.
富蘭克林坦伯頓全球投資系列-拉丁美洲基金美元B(acc)股,FranklinTempletonInvestmentFunds-TempletonLatinAmericaFundClassB(acc)USD,股票型-一般型,區域-新興拉丁美洲,14.085190,美元,富蘭克林證券投資顧問股份有限公司,坦伯頓資產管理公司-TEMPLETONASSETMANAGEMENTLTD.
富蘭克林坦伯頓全球投資系列-東歐基金美元B(acc)股,TempletonEasternEuropeFundClassB(acc)USD,股票型-一般型,區域-新興歐洲,7.987060,美元,富蘭克林證券投資顧問股份有限公司,坦伯頓資產管理公司-TEMPLETONASSETMANAGEMENTLTD.
富蘭克林坦伯頓全球投資系列-潛力歐洲基金美元B(acc)股,TempletonEurolandFundClassB(acc)USD,股票型-一般型,區域-已開發歐洲,5.897756,美元,富蘭克林證券投資顧問股份有限公司,坦伯頓全球顧問公司-TEMPLETONGLOBALADVISORSLTD.
富蘭克林坦伯頓全球投資系列-歐元全球基金美元B(acc)股,FranklinTempletonInvestmentFunds-TempletonGlobal(Euro)FundClassB(acc)USD,股票型-一般型,全球-已開發市場,0.203542,美元,富蘭克林證券投資顧問股份有限公司,富蘭克林坦伯頓投資管理公司-FRANKLINTEMPLETONINVESTMENTMANAGEMENTLTD.
富蘭克林坦伯頓全球投資系列-美國機會基金歐元A(acc)股,FranklinTempletonInvestmentFunds-FranklinU.S.OpportunitiesFundClassA(acc)EUR,股票型-一般型,單一國家-美國,148.493059,歐元,富蘭克林證券投資顧問股份有限公司,富蘭克林顧問公司-FRANKLINADVISERS，INC.
富蘭克林坦伯頓全球投資系列－全球債券總報酬基金歐元A(acc)股,FranklinTempletonInvestmentFunds-TempletonGlobalTotalReturnFundClassA(acc)EUR,固定收益型-一般型(未設定條件),全球-混合,1331.181438,歐元,富蘭克林證券投資顧問股份有限公司,富蘭克林顧問公司-FRANKLINADVISERS，INC.
富蘭克林坦伯頓全球投資系列－全球債券總報酬基金歐元A(Mdis)股,FranklinTempletonInvestmentFunds-TempletonGlobalTotalReturnFundClassA(Mdis)EUR,固定收益型-一般型(未設定條件),全球-混合,618.087006,歐元,富蘭克林證券投資顧問股份有限公司,富蘭克林顧問公司-FRANKLINADVISERS，INC.
富蘭克林坦伯頓全球投資系列-日本基金美元A(acc)股,FranklinTempletonInvestmentFunds-FranklinJapanFundClassA(acc)USD,股票型-一般型,單一國家-日本,67.454765,美元,富蘭克林證券投資顧問股份有限公司,富蘭克林顧問公司-FRANKLINADVISERS，INC.
富蘭克林坦伯頓全球投資系列-東歐基金美元A(acc)股,TempletonEasternEuropeFundClassA(acc)USD,股票型-一般型,區域-新興歐洲,71.011041,美元,富蘭克林證券投資顧問股份有限公司,坦伯頓資產管理公司-TEMPLETONASSETMANAGEMENTLTD.
富蘭克林坦伯頓全球投資系列-印度基金美元A(acc)股,FranklinIndiaFundClassA(acc)USD,股票型-一般型,單一國家-印度,1038.880703,美元,富蘭克林證券投資顧問股份有限公司,富蘭克林顧問公司與坦伯頓資產管理公司共同管理-FAI&TAML
富蘭克林坦伯頓全球投資系列-印度基金美元B(acc)股,FranklinIndiaFundClassB(acc)USD,股票型-一般型,單一國家-印度,44.740810,美元,富蘭克林證券投資顧問股份有限公司,富蘭克林顧問公司與坦伯頓資產管理公司共同管理-FAI&TAML
富蘭克林坦伯頓全球投資系列－全球房地產基金美元A(acc)股,FranklinTempletonInvestmentFunds-FranklinGlobalRealEstateFundClassA(acc)USD,股票型-房地產-或不動產證券化,全球-已開發市場,166.858205,美元,富蘭克林證券投資顧問股份有限公司,富蘭克林坦伯頓法人機構公司-FRANKLINTEMPLETONINSTITUTIONALLLC
富蘭克林坦伯頓全球投資系列－全球房地產基金美元A(Qdis)股,FranklinTempletonInvestmentFunds-FranklinGlobalRealEstateFundClassA(Qdis)USD,股票型-房地產-或不動產證券化,全球-已開發市場,54.531568,美元,富蘭克林證券投資顧問股份有限公司,富蘭克林坦伯頓法人機構公司-FRANKLINTEMPLETONINSTITUTIONALLLC
富蘭克林坦伯頓全球投資系列－全球房地產基金美元B(Qdis)股,FranklinTempletonInvestmentFunds-FranklinGlobalRealEstateFundClassB(Qdis)USD,股票型-房地產-或不動產證券化,全球-已開發市場,21.333232,美元,富蘭克林證券投資顧問股份有限公司,富蘭克林坦伯頓法人機構公司-FRANKLINTEMPLETONINSTITUTIONALLLC
富蘭克林坦伯頓全球投資系列-亞洲債券基金美元A(acc)股,TempletonAsianBondFundClassA(acc)USD,固定收益型-新興市場債,區域-亞洲太平洋(含日本),446.440576,美元,富蘭克林證券投資顧問股份有限公司,富蘭克林顧問公司-FRANKLINADVISERS，INC.
富蘭克林坦伯頓全球投資系列-亞洲債券基金美元A(Mdis)股,TempletonAsianBondFundClassA(Mdis)USD,固定收益型-新興市場債,區域-亞洲太平洋(含日本),185.656608,美元,富蘭克林證券投資顧問股份有限公司,富蘭克林顧問公司-FRANKLINADVISERS，INC.
富蘭克林坦伯頓全球投資系列-亞洲債券基金美元B(Mdis)股,TempletonAsianBondFundClassB(Mdis)USD,固定收益型-新興市場債,區域-亞洲太平洋(含日本),11.230931,美元,富蘭克林證券投資顧問股份有限公司,富蘭克林顧問公司-FRANKLINADVISERS，INC.
富蘭克林坦伯頓全球投資系列-天然資源基金美元A(acc)股,FranklinTempletonInvestmentFunds-FranklinNaturalResourcesFundClassA(acc)USD,股票型-天然資源,全球-混合,176.563434,美元,富蘭克林證券投資顧問股份有限公司,富蘭克林顧問公司-FRANKLINADVISERS，INC.
富蘭克林坦伯頓全球投資系列-天然資源基金歐元A(acc)股,FranklinTempletonInvestmentFunds-FranklinNaturalResourcesFundClassA(acc)EUR,股票型-天然資源,全球-混合,26.313794,歐元,富蘭克林證券投資顧問股份有限公司,富蘭克林顧問公司-FRANKLINADVISERS，INC.
富蘭克林坦伯頓全球投資系列-精選收益基金美元A(acc)股,FranklinTempletonInvestmentFunds-FranklinStrategicIncomeFundClassA(acc)USD,固定收益型-一般型(未設定條件),全球-混合,418.810988,美元,富蘭克林證券投資顧問股份有限公司,富蘭克林顧問公司-FRANKLINADVISERS，INC.
