基金名稱,基金英文名稱,基金種類,基金投資區域,基金規模,基金幣別,基金總代理名稱,境外基金機構
貝萊德歐洲價值型基金A4歐元,BlackRockGlobalFund-EuropeanValueFundA4EUR,股票型-一般型,區域-已開發歐洲,32.845750,歐元,貝萊德證券投資信託股份有限公司,貝萊德(盧森堡)公司-BLACKROCK(LUXEMBOURG)S.A.
貝萊德歐洲價值型基金A2美元,BlackRockGlobalFund-EuropeanValueFundA2USD,股票型-一般型,區域-已開發歐洲,266.254482,美元,貝萊德證券投資信託股份有限公司,貝萊德(盧森堡)公司-BLACKROCK(LUXEMBOURG)S.A.
貝萊德歐元市場基金A4歐元,BlackRockGlobalFund-Euro-MarketsFundA4EUR,股票型-一般型,區域-已開發歐洲,121.392508,歐元,貝萊德證券投資信託股份有限公司,貝萊德(盧森堡)公司-BLACKROCK(LUXEMBOURG)S.A.
貝萊德環球資產配置基金HedgedA2港幣,BlackRockGlobalFund-GlobalAllocationFundHedgedA2HKD,平衡型(混合型)-平衡型(混合型),全球-已開發市場,134.319204,港幣,貝萊德證券投資信託股份有限公司,貝萊德(盧森堡)公司-BLACKROCK(LUXEMBOURG)S.A.
貝萊德環球企業債券基金A8多幣別穩定月配息股份-澳幣避險,BlackRockGlobalFund-GlobalCorporateBondFundA8AUDHedged,固定收益型-投資級公司債(企業債),全球-已開發市場,22.007864,澳幣,貝萊德證券投資信託股份有限公司,貝萊德(盧森堡)公司-BLACKROCK(LUXEMBOURG)S.A.
貝萊德環球企業債券基金A2美元,BlackRockGlobalFund-GlobalCorporateBondFundA2USD,固定收益型-投資級公司債(企業債),全球-已開發市場,112.755384,美元,貝萊德證券投資信託股份有限公司,貝萊德(盧森堡)公司-BLACKROCK(LUXEMBOURG)S.A.
貝萊德環球企業債券基金HedgedA2歐元,BlackRockGlobalFund-GlobalCorporateBondFundHedgedA2EUR,固定收益型-投資級公司債(企業債),全球-已開發市場,35.296204,歐元,貝萊德證券投資信託股份有限公司,貝萊德(盧森堡)公司-BLACKROCK(LUXEMBOURG)S.A.
貝萊德環球企業債券基金A6美元(穩定配息),BlackRockGlobalFund-GlobalCorporateBondFundA6USD,固定收益型-投資級公司債(企業債),全球-已開發市場,148.310132,美元,貝萊德證券投資信託股份有限公司,貝萊德(盧森堡)公司-BLACKROCK(LUXEMBOURG)S.A.
貝萊德環球動力股票基金A2美元,BlackRockGlobalFund-GlobalDynamicEquityFundA2USD,股票型-一般型,全球-已開發市場,487.383040,美元,貝萊德證券投資信託股份有限公司,貝萊德(盧森堡)公司-BLACKROCK(LUXEMBOURG)S.A.
貝萊德環球動力股票基金C2美元,BlackRockGlobalFund-GlobalDynamicEquityFundC2USD,股票型-一般型,全球-已開發市場,39.094940,美元,貝萊德證券投資信託股份有限公司,貝萊德(盧森堡)公司-BLACKROCK(LUXEMBOURG)S.A.
