類型代號	公司代號	公司名稱	基金統編	基金名稱	幣別	淨值	前一日淨值	漲跌
AA1	A0001	兆豐國際投信	00965469	兆豐國際第一基金	TWD	12.16	12.14	0.02
AB1	A0001	兆豐國際投信	00971976	兆豐國際萬全基金	TWD	16.8	16.89	-0.09
AA2	A0001	兆豐國際投信	00992769	兆豐國際全球基金	TWD	30.82	30.66	0.16
AA1	A0001	兆豐國際投信	01050148	兆豐國際國民基金	TWD	22.72	22.69	0.03
AA1	A0001	兆豐國際投信	10341837	兆豐國際豐台灣基金	TWD	27.63	27.59	0.04
AA2	A0001	兆豐國際投信	14699772	兆豐國際生命科學基金	TWD	16.66	16.59	0.07
AD1	A0001	兆豐國際投信	18044796	兆豐國際寶鑽貨幣市場基金	TWD	12.2553	12.255	0.0003
AA2	A0001	兆豐國際投信	25637773	兆豐國際綠鑽基金	TWD	8.92	8.88	0.04
AA2	A0001	兆豐國際投信	26278352	兆豐國際全球高股息基金	TWD	9.78	9.76	0.02
AA2	A0001	兆豐國際投信	26299315	兆豐國際民生動力基金	TWD	10.22	10.1	0.12
AE22	A0001	兆豐國際投信	31829638A	兆豐國際全球債券組合基金A(累積型)	TWD	10.43	10.44	-0.01
AE22	A0001	兆豐國際投信	31829638B	兆豐國際全球債券組合基金B(月配型)	TWD	10.43	10.44	-0.01
AC23	A0001	兆豐國際投信	31923107A	兆豐國際新興市場高收益債券基金A(累積型)	TWD	9.7711	9.7684	0.0027
AC23	A0001	兆豐國際投信	31923107B	兆豐國際新興市場高收益債券基金B(月配型)	TWD	9.3023	9.2998	0.0025
AD2	A0001	兆豐國際投信	38522710	兆豐國際人民幣貨幣市場基金	CNY	10.0142	10.0135	0.0007
AA1	A0001	兆豐國際投信	73991751	兆豐國際電子基金	TWD	20.24	20.15	0.09
AA1	A0001	兆豐國際投信	81584996	兆豐國際中小基金	TWD	12.93	12.92	0.01
AA1	A0003	第一金投信	00968521	第一金福元基金	TWD	8.78	8.79	-0.01
AD1	A0003	第一金投信	01032249	第一金全家福貨幣市場基金	TWD	174.56	174.558	0.002
AA1	A0003	第一金投信	01032803	第一金萬得福基金	TWD	12.66	12.64	0.02
AA2	A0003	第一金投信	10338642	第一金全球大趨勢基金	TWD	16.88	16.89	-0.01
AA1	A0003	第一金投信	15739619	第一金大中華基金	TWD	19.07	19.05	0.02
AA2	A0003	第一金投信	17612378	第一金亞洲科技基金	TWD	14.16	14.21	-0.05
AA1	A0003	第一金投信	19341318	第一金電子基金	TWD	26.37	26.57	-0.2
AD1	A0003	第一金投信	20081472	第一金台灣貨幣市場基金	TWD	14.9562	14.956	0.0002
AA1	A0003	第一金投信	20092528	第一金店頭市場基金	TWD	7.63	7.63	0
AC23	A0003	第一金投信	25593418A	第一金全球高收益債券基金A	TWD	14.4846	14.494	-0.0094
AC23	A0003	第一金投信	25593418B	第一金全球高收益債券基金B	TWD	11.2647	11.2719	-0.0072
AA2	A0003	第一金投信	25620512	第一金中國世紀基金	TWD	7.34	7.3	0.04
