基金代碼,基金名稱,日期,基金淨值
000AEFGLIU,天利(盧森堡)-環球資產配置基金I(美元),2015-08-24,23.640000
000AEFGLIU,天利(盧森堡)-環球資產配置基金I(美元),2015-08-25,23.560000
000AEFGLIUE,天利(盧森堡)-環球資產配置基金I(歐元),2015-08-24,20.420000
000AEFGLIUE,天利(盧森堡)-環球資產配置基金I(歐元),2015-08-25,20.640000
000AMEFEUA,天利(盧森堡)-美國選擇基金(美元),2015-08-24,16.130000
000AMEFEUA,天利(盧森堡)-美國選擇基金(美元),2015-08-25,15.970000
000AMEFEUAE,天利(盧森堡)-美國選擇基金(歐元),2015-08-24,13.930000
000AMEFEUAE,天利(盧森堡)-美國選擇基金(歐元),2015-08-25,14.000000
000AMEFEUAEH,天利(盧森堡)-美國選擇基金(歐元避險),2015-08-24,19.750000
000AMEFEUAEH,天利(盧森堡)-美國選擇基金(歐元避險),2015-08-25,19.540000
000AMEFIEH,天利(盧森堡)-美國選擇基金I(歐元避險),2015-08-24,20.060000
000AMEFIEH,天利(盧森堡)-美國選擇基金I(歐元避險),2015-08-25,19.850000
000AMEGEMIEH,天利(盧森堡)-新興市場公司債券基金I(歐元避險),2015-08-24,25.260000
000AMEGEMIEH,天利(盧森堡)-新興市場公司債券基金I(歐元避險),2015-08-25,25.250000
000AMEGLEE,天利(盧森堡)-全球能源股票基金(美元),2015-08-24,26.050000
000AMEGLEE,天利(盧森堡)-全球能源股票基金(美元),2015-08-25,25.870000
000AMEGLEEE,天利(盧森堡)-全球能源股票基金(歐元),2015-08-24,22.510000
000AMEGLEEE,天利(盧森堡)-全球能源股票基金(歐元),2015-08-25,22.670000
000AMEGLEEEH,天利(盧森堡)-全球能源股票基金(歐元避險),2015-08-24,19.230000
000AMEGLEEEH,天利(盧森堡)-全球能源股票基金(歐元避險),2015-08-25,19.080000
000AMEHIBA,天利(盧森堡)-美國高收入債券基金(美元),2015-08-24,28.730000
000AMEHIBA,天利(盧森堡)-美國高收入債券基金(美元),2015-08-25,28.860000
000AMEHIBAE,天利(盧森堡)-美國高收入債券基金(歐元),2015-08-24,24.820000
000AMEHIBAE,天利(盧森堡)-美國高收入債券基金(歐元),2015-08-25,25.290000
000AMEHIBAEH,天利(盧森堡)-美國高收入債券基金(歐元避險),2015-08-24,27.490000
000AMEHIBAEH,天利(盧森堡)-美國高收入債券基金(歐元避險),2015-08-25,27.620000
000AMEHIBAUP,天利(盧森堡)-美國高收入債券基金(美元配息),2015-08-24,13.460000
000AMEHIBAUP,天利(盧森堡)-美國高收入債券基金(美元配息),2015-08-25,13.520000
000AMESTAU,天利(盧森堡)-全球新興市場短期債券基金(美元),2015-08-24,15.290000
000AMESTAU,天利(盧森堡)-全球新興市場短期債券基金(美元),2015-08-25,15.330000
000AMESTAUE,天利(盧森堡)-全球新興市場短期債券基金(歐元),2015-08-24,13.210000
000AMESTAUE,天利(盧森堡)-全球新興市場短期債券基金(歐元),2015-08-25,13.440000
000AMESTAUEH,天利(盧森堡)-全球新興市場短期債券基金(歐元避險),2015-08-24,14.130000
000AMESTAUEH,天利(盧森堡)-全球新興市場短期債券基金(歐元避險),2015-08-25,14.160000
000AMESTAUEP,天利(盧森堡)-全球新興市場短期債券基金(歐元避險配息),2015-08-24,6.720000
000AMESTAUEP,天利(盧森堡)-全球新興市場短期債券基金(歐元避險配息),2015-08-25,6.740000
000AMESTAUUP,天利(盧森堡)-全球新興市場短期債券基金(美元配息),2015-08-24,6.390000
000AMESTAUUP,天利(盧森堡)-全球新興市場短期債券基金(美元配息),2015-08-25,6.410000
000AMEXIEH,天利(盧森堡)-全球新興市場短期債券基金I(歐元避險),2015-08-24,15.520000
000AMEXIEH,天利(盧森堡)-全球新興市場短期債券基金I(歐元避險),2015-08-25,15.560000
000AMGEMAU,天利(盧森堡)-新興市場公司債券基金(美元),2015-08-24,17.630000
000AMGEMAU,天利(盧森堡)-新興市場公司債券基金(美元),2015-08-25,17.630000
000AMGEMAUE,天利(盧森堡)-新興市場公司債券基金(歐元),2015-08-24,15.230000
000AMGEMAUE,天利(盧森堡)-新興市場公司債券基金(歐元),2015-08-25,15.450000
000AMGEMAUEH,天利(盧森堡)-新興市場公司債券(歐元避險),2015-08-24,18.700000
000AMGEMAUEH,天利(盧森堡)-新興市場公司債券(歐元避險),2015-08-25,18.690000
000AMGEMAUEP,天利(盧森堡)-新興市場公司債券(歐元避險配息),2015-08-24,14.390000
000AMGEMAUEP,天利(盧森堡)-新興市場公司債券(歐元避險配息),2015-08-25,14.390000
000AMGEMAUUP,天利(盧森堡)-新興市場公司債券(美元配息),2015-08-24,8.250000
000AMGEMAUUP,天利(盧森堡)-新興市場公司債券(美元配息),2015-08-25,8.240000
000AMUSIEH,天利(盧森堡)-北美基金I(歐元避險),2015-08-24,31.850000
000AMUSIEH,天利(盧森堡)-北美基金I(歐元避險),2015-08-25,31.590000
000AMXEMDIEH,天利(盧森堡)-新興市場債券基金I(歐元避險),2015-08-24,24.430000
000AMXEMDIEH,天利(盧森堡)-新興市場債券基金I(歐元避險),2015-08-25,24.530000
000EPCEMDI,天利(盧森堡)-新興市場債券基金(美元),2015-08-24,60.820000
000EPCEMDI,天利(盧森堡)-新興市場債券基金(美元),2015-08-25,61.060000
000EPCEMDIE,天利(盧森堡)-新興市場債券基金(歐元),2015-08-24,52.540000
000EPCEMDIE,天利(盧森堡)-新興市場債券基金(歐元),2015-08-25,53.510000
000EPCEMDIEH,天利(盧森堡)-新興市場債券基金(歐元避險),2015-08-24,23.150000
000EPCEMDIEH,天利(盧森堡)-新興市場債券基金(歐元避險),2015-08-25,23.240000
000EPCEMDIEP,天利(盧森堡)-新興市場債券基金(歐元避險配息),2015-08-24,10.890000
000EPCEMDIEP,天利(盧森堡)-新興市場債券基金(歐元避險配息),2015-08-25,10.930000
000EPCEMDIUP,天利(盧森堡)-新興市場債券基金(美元配息),2015-08-24,11.910000
000EPCEMDIUP,天利(盧森堡)-新興市場債券基金(美元配息),2015-08-25,11.960000
000EPCEUEI,天利(盧森堡)-泛歐洲股票基金(歐元),2015-08-24,54.450000
000EPCEUEI,天利(盧森堡)-泛歐洲股票基金(歐元),2015-08-25,56.970000
000EPCEUEIU,天利(盧森堡)-泛歐洲股票基金(美元),2015-08-24,63.030000
000EPCEUEIU,天利(盧森堡)-泛歐洲股票基金(美元),2015-08-25,65.000000
000EPCEUIE,天利(盧森堡)-泛歐洲股票基金I(歐元),2015-08-24,36.610000
000EPCEUIE,天利(盧森堡)-泛歐洲股票基金I(歐元),2015-08-25,38.310000
000EPCEUIEU,天利(盧森堡)-泛歐洲股票基金I(美元),2015-08-24,42.380000
000EPCEUIEU,天利(盧森堡)-泛歐洲股票基金I(美元),2015-08-25,43.710000
000EPCGSBI,天利(盧森堡)-環球資產配置基金(美元),2015-08-24,33.230000
000EPCGSBI,天利(盧森堡)-環球資產配置基金(美元),2015-08-25,33.110000
000EPCGSBIE,天利(盧森堡)-環球資產配置基金(歐元),2015-08-24,28.700000
000EPCGSBIE,天利(盧森堡)-環球資產配置基金(歐元),2015-08-25,29.010000
000EPCGSBIEH,天利(盧森堡)-環球資產配置基金(歐元避險),2015-08-24,24.850000
000EPCGSBIEH,天利(盧森堡)-環球資產配置基金(歐元避險),2015-08-25,24.760000
000EPCGSBIEP,天利(盧森堡)-環球資產配置基金(歐元避險配息),2015-08-24,13.240000
000EPCGSBIEP,天利(盧森堡)-環球資產配置基金(歐元避險配息),2015-08-25,13.190000
000EPCGSBIUP,天利(盧森堡)-環球資產配置基金(美元配息),2015-08-24,13.650000
000EPCGSBIUP,天利(盧森堡)-環球資產配置基金(美元配息),2015-08-25,13.600000
000EPCLCEI,天利(盧森堡)-北美基金(美元),2015-08-24,47.870000
000EPCLCEI,天利(盧森堡)-北美基金(美元),2015-08-25,47.520000
000EPCLCEIE,天利(盧森堡)-北美基金(歐元),2015-08-24,41.360000
000EPCLCEIE,天利(盧森堡)-北美基金(歐元),2015-08-25,41.640000
000EPCLCEIEH,天利(盧森堡)-北美基金(歐元避險),2015-08-24,30.990000
000EPCLCEIEH,天利(盧森堡)-北美基金(歐元避險),2015-08-25,30.740000
000EPCLCIU,天利(盧森堡)-北美基金I(美元),2015-08-24,31.060000
000EPCLCIU,天利(盧森堡)-北美基金I(美元),2015-08-25,30.830000
000EPCLCIUE,天利(盧森堡)-北美基金I(歐元),2015-08-24,26.840000
000EPCLCIUE,天利(盧森堡)-北美基金I(歐元),2015-08-25,27.020000
000EPCWDEI,天利(盧森堡)-全球焦點基金(美元),2015-08-24,41.070000
000EPCWDEI,天利(盧森堡)-全球焦點基金(美元),2015-08-25,41.220000
000EPCWDEIE,天利(盧森堡)-全球焦點基金(歐元),2015-08-24,35.480000
000EPCWDEIE,天利(盧森堡)-全球焦點基金(歐元),2015-08-25,36.120000
000EPCWDEIEH,天利(盧森堡)-全球焦點基金(歐元避險),2015-08-24,27.470000
