基金代碼,基金名稱,日期,基金淨值
000AEFGLIU,天利(盧森堡)-環球資產配置基金I(美元),2015-08-19,24.310000
000AEFGLIU,天利(盧森堡)-環球資產配置基金I(美元),2015-08-20,24.200000
000AEFGLIUE,天利(盧森堡)-環球資產配置基金I(歐元),2015-08-19,21.990000
000AEFGLIUE,天利(盧森堡)-環球資產配置基金I(歐元),2015-08-20,21.610000
000AMEFEUA,天利(盧森堡)-美國選擇基金(美元),2015-08-19,17.800000
000AMEFEUA,天利(盧森堡)-美國選擇基金(美元),2015-08-20,17.360000
000AMEFEUAE,天利(盧森堡)-美國選擇基金(歐元),2015-08-19,16.100000
000AMEFEUAE,天利(盧森堡)-美國選擇基金(歐元),2015-08-20,15.510000
000AMEFEUAEH,天利(盧森堡)-美國選擇基金(歐元避險),2015-08-19,21.740000
000AMEFEUAEH,天利(盧森堡)-美國選擇基金(歐元避險),2015-08-20,21.210000
000AMEFIEH,天利(盧森堡)-美國選擇基金I(歐元避險),2015-08-19,22.080000
000AMEFIEH,天利(盧森堡)-美國選擇基金I(歐元避險),2015-08-20,21.540000
000AMEGEMIEH,天利(盧森堡)-新興市場公司債券基金I(歐元避險),2015-08-19,25.690000
000AMEGEMIEH,天利(盧森堡)-新興市場公司債券基金I(歐元避險),2015-08-20,25.620000
000AMEGLEE,天利(盧森堡)-全球能源股票基金(美元),2015-08-19,28.700000
000AMEGLEE,天利(盧森堡)-全球能源股票基金(美元),2015-08-20,28.210000
000AMEGLEEE,天利(盧森堡)-全球能源股票基金(歐元),2015-08-19,25.960000
000AMEGLEEE,天利(盧森堡)-全球能源股票基金(歐元),2015-08-20,25.190000
000AMEGLEEEH,天利(盧森堡)-全球能源股票基金(歐元避險),2015-08-19,21.110000
000AMEGLEEEH,天利(盧森堡)-全球能源股票基金(歐元避險),2015-08-20,20.760000
000AMEHIBA,天利(盧森堡)-美國高收入債券基金(美元),2015-08-19,29.130000
000AMEHIBA,天利(盧森堡)-美國高收入債券基金(美元),2015-08-20,29.050000
000AMEHIBAE,天利(盧森堡)-美國高收入債券基金(歐元),2015-08-19,26.350000
000AMEHIBAE,天利(盧森堡)-美國高收入債券基金(歐元),2015-08-20,25.940000
000AMEHIBAEH,天利(盧森堡)-美國高收入債券基金(歐元避險),2015-08-19,27.860000
000AMEHIBAEH,天利(盧森堡)-美國高收入債券基金(歐元避險),2015-08-20,27.780000
000AMEHIBAUP,天利(盧森堡)-美國高收入債券基金(美元配息),2015-08-19,13.710000
000AMEHIBAUP,天利(盧森堡)-美國高收入債券基金(美元配息),2015-08-20,13.670000
000AMESTAU,天利(盧森堡)-全球新興市場短期債券基金(美元),2015-08-19,15.440000
000AMESTAU,天利(盧森堡)-全球新興市場短期債券基金(美元),2015-08-20,15.390000
000AMESTAUE,天利(盧森堡)-全球新興市場短期債券基金(歐元),2015-08-19,13.960000
000AMESTAUE,天利(盧森堡)-全球新興市場短期債券基金(歐元),2015-08-20,13.740000
000AMESTAUEH,天利(盧森堡)-全球新興市場短期債券基金(歐元避險),2015-08-19,14.250000
000AMESTAUEH,天利(盧森堡)-全球新興市場短期債券基金(歐元避險),2015-08-20,14.210000
000AMESTAUEP,天利(盧森堡)-全球新興市場短期債券基金(歐元避險配息),2015-08-19,6.810000
000AMESTAUEP,天利(盧森堡)-全球新興市場短期債券基金(歐元避險配息),2015-08-20,6.790000
000AMESTAUUP,天利(盧森堡)-全球新興市場短期債券基金(美元配息),2015-08-19,6.480000
000AMESTAUUP,天利(盧森堡)-全球新興市場短期債券基金(美元配息),2015-08-20,6.460000
