基金代碼,基金名稱,日期,基金淨值
000AEFGLIU,天利(盧森堡)-環球資產配置基金I(美元),2015-10-09,24.070000
000AEFGLIU,天利(盧森堡)-環球資產配置基金I(美元),2015-10-12,24.100000
000AEFGLIUE,天利(盧森堡)-環球資產配置基金I(歐元),2015-10-09,21.200000
000AEFGLIUE,天利(盧森堡)-環球資產配置基金I(歐元),2015-10-12,21.190000
000AMEFEUA,天利(盧森堡)-美國選擇基金(美元),2015-10-09,17.090000
000AMEFEUA,天利(盧森堡)-美國選擇基金(美元),2015-10-12,17.140000
000AMEFEUAE,天利(盧森堡)-美國選擇基金(歐元),2015-10-09,15.050000
000AMEFEUAE,天利(盧森堡)-美國選擇基金(歐元),2015-10-12,15.070000
000AMEFEUAEH,天利(盧森堡)-美國選擇基金(歐元避險),2015-10-09,20.900000
000AMEFEUAEH,天利(盧森堡)-美國選擇基金(歐元避險),2015-10-12,20.960000
000AMEFIEH,天利(盧森堡)-美國選擇基金I(歐元避險),2015-10-09,21.260000
000AMEFIEH,天利(盧森堡)-美國選擇基金I(歐元避險),2015-10-12,21.310000
000AMEGEMIEH,天利(盧森堡)-新興市場公司債券基金I(歐元避險),2015-10-09,25.320000
000AMEGEMIEH,天利(盧森堡)-新興市場公司債券基金I(歐元避險),2015-10-12,25.340000
000AMEGLEE,天利(盧森堡)-全球能源股票基金(美元),2015-10-09,29.240000
000AMEGLEE,天利(盧森堡)-全球能源股票基金(美元),2015-10-12,28.960000
000AMEGLEEE,天利(盧森堡)-全球能源股票基金(歐元),2015-10-09,25.750000
000AMEGLEEE,天利(盧森堡)-全球能源股票基金(歐元),2015-10-12,25.460000
000AMEGLEEEH,天利(盧森堡)-全球能源股票基金(歐元避險),2015-10-09,21.590000
000AMEGLEEEH,天利(盧森堡)-全球能源股票基金(歐元避險),2015-10-12,21.380000
000AMEHIBA,天利(盧森堡)-美國高收入債券基金(美元),2015-10-09,28.960000
000AMEHIBA,天利(盧森堡)-美國高收入債券基金(美元),2015-10-12,29.180000
000AMEHIBAE,天利(盧森堡)-美國高收入債券基金(歐元),2015-10-09,25.500000
000AMEHIBAE,天利(盧森堡)-美國高收入債券基金(歐元),2015-10-12,25.660000
