name,code
瀚亞投資─美國高收益債券基金Aadm(澳幣避險月配),UHYBAA
鋒裕基金-美國高息B股南非幣收益(穩定配息),PIMUSYZIBSD
鋒裕基金-歐洲研究B2,PIMERHB
鋒裕基金-中國股票A2(歐元),PIMCEAEUR
施羅德環球基金系列-環球企業債券A1類股份-配息單位,IHGBJ
聯博-全球高收益債券基金AA(穩定月配)英鎊避險級別,ABGHYAAGBPH
駿利資產管理基金-駿利環球生命科技基金I美元累計,JANGLII
美盛西方資產全球高收益債券基金A類股美元增益配息型(M),IE00B7SBJ061
施羅德環球基金系列-歐洲股息基金C類股份-季配息單位(歐元),IEDVC
路博邁投資基金-NB新興市場本地貨幣債券基金B月配息類股(澳幣),IE00BTLWS819
愛德蒙得洛希爾-全球新興市場基金(B),EDR22
施羅德環球基金系列-歐洲收益股票A1類股份-配息單位,IEEGJ
施羅德環球基金系列-環球能源A1類股份-累積單位,IGENG
歐義銳榮中國股票基金R2,LU0299359710
施羅德環球基金系列-印度股票A類股份-累積單位,IINDD
法儲銀盧米斯賽勒斯債券基金R-DMUSD,IE00B3F05Z53
景順消閒基金C股美元,2111CC
施羅德環球基金系列-歐洲收益股票A1類股份-累積單位,IEEGG
路博邁投資基金-NB高收益債券基金E累積類股(南非幣),IE00BNJZT544
貝萊德美國政府房貸債券基金C2美元,BLKMUSGC
法巴百利達全球金融股票基金C(美元),LU0823415954
德盛東方入息基金－A配息類股,AGIF-OIR
利安資金日本增長基金(新元避險),JGHS
景順天下地產證券基金C股美元,1025CC
聯博-新興市場成長基金C股歐元,ABEMGCEUR
富蘭克林坦伯頓全球投資系列－全球房地產基金歐元避險A(acc)股-H1,1155
愛德蒙得洛希爾歐洲中型股基金(A),EDR04
柏瑞環球基金-柏瑞環球新興市場債券基金A6HD,AEMBA6HD
富蘭克林坦伯頓全球投資系列-新興國家基金美元B(acc)股,0854
聯博-中國時機基金AD月配歐元避險級別,ABCOPADHEDGE
MFS全盛基金系列-MFS全盛全球高收益基金A2(美元),MFSGLGB
天達環球策略基金-歐洲股票基金I累積股份(美元避險),GEU789
聯博-美國收益基金AT股加幣避險,ABAIPATCADH
聯博-歐洲收益基金A股美元,ABEIOPAUSD
貝萊德環球資產配置基金HedgedA2港幣,BLKGAAHH
聯博-美國成長基金B股歐元,ABAGPBEUR
