基金代碼,基金名稱,日期,基金淨值
000AEFGLIU,天利(盧森堡)-環球資產配置基金I(美元),2015-08-12,24.390000
000AEFGLIU,天利(盧森堡)-環球資產配置基金I(美元),2015-08-13,24.400000
000AEFGLIUE,天利(盧森堡)-環球資產配置基金I(歐元),2015-08-12,21.800000
000AEFGLIUE,天利(盧森堡)-環球資產配置基金I(歐元),2015-08-13,21.930000
000AMEFEUA,天利(盧森堡)-美國選擇基金(美元),2015-08-12,17.920000
000AMEFEUA,天利(盧森堡)-美國選擇基金(美元),2015-08-13,17.900000
000AMEFEUAE,天利(盧森堡)-美國選擇基金(歐元),2015-08-12,16.010000
000AMEFEUAE,天利(盧森堡)-美國選擇基金(歐元),2015-08-13,16.090000
000AMEFEUAEH,天利(盧森堡)-美國選擇基金(歐元避險),2015-08-12,21.880000
000AMEFEUAEH,天利(盧森堡)-美國選擇基金(歐元避險),2015-08-13,21.860000
000AMEFIEH,天利(盧森堡)-美國選擇基金I(歐元避險),2015-08-12,22.220000
000AMEFIEH,天利(盧森堡)-美國選擇基金I(歐元避險),2015-08-13,22.200000
000AMEGEMIEH,天利(盧森堡)-新興市場公司債券基金I(歐元避險),2015-08-12,25.700000
000AMEGEMIEH,天利(盧森堡)-新興市場公司債券基金I(歐元避險),2015-08-13,25.780000
000AMEGLEE,天利(盧森堡)-全球能源股票基金(美元),2015-08-12,30.060000
000AMEGLEE,天利(盧森堡)-全球能源股票基金(美元),2015-08-13,29.560000
000AMEGLEEE,天利(盧森堡)-全球能源股票基金(歐元),2015-08-12,26.860000
000AMEGLEEE,天利(盧森堡)-全球能源股票基金(歐元),2015-08-13,26.560000
000AMEGLEEEH,天利(盧森堡)-全球能源股票基金(歐元避險),2015-08-12,22.110000
000AMEGLEEEH,天利(盧森堡)-全球能源股票基金(歐元避險),2015-08-13,21.740000
000AMEHIBA,天利(盧森堡)-美國高收入債券基金(美元),2015-08-12,28.950000
000AMEHIBA,天利(盧森堡)-美國高收入債券基金(美元),2015-08-13,29.160000
000AMEHIBAE,天利(盧森堡)-美國高收入債券基金(歐元),2015-08-12,25.880000
000AMEHIBAE,天利(盧森堡)-美國高收入債券基金(歐元),2015-08-13,26.210000
000AMEHIBAEH,天利(盧森堡)-美國高收入債券基金(歐元避險),2015-08-12,27.700000
000AMEHIBAEH,天利(盧森堡)-美國高收入債券基金(歐元避險),2015-08-13,27.900000
000AMEHIBAUP,天利(盧森堡)-美國高收入債券基金(美元配息),2015-08-12,13.620000
000AMEHIBAUP,天利(盧森堡)-美國高收入債券基金(美元配息),2015-08-13,13.720000
000AMESTAU,天利(盧森堡)-全球新興市場短期債券基金(美元),2015-08-12,15.480000
000AMESTAU,天利(盧森堡)-全球新興市場短期債券基金(美元),2015-08-13,15.540000
000AMESTAUE,天利(盧森堡)-全球新興市場短期債券基金(歐元),2015-08-12,13.840000
000AMESTAUE,天利(盧森堡)-全球新興市場短期債券基金(歐元),2015-08-13,13.970000
000AMESTAUEH,天利(盧森堡)-全球新興市場短期債券基金(歐元避險),2015-08-12,14.310000
000AMESTAUEH,天利(盧森堡)-全球新興市場短期債券基金(歐元避險),2015-08-13,14.350000
000AMESTAUEP,天利(盧森堡)-全球新興市場短期債券基金(歐元避險配息),2015-08-12,6.840000
000AMESTAUEP,天利(盧森堡)-全球新興市場短期債券基金(歐元避險配息),2015-08-13,6.860000
000AMESTAUUP,天利(盧森堡)-全球新興市場短期債券基金(美元配息),2015-08-12,6.500000
000AMESTAUUP,天利(盧森堡)-全球新興市場短期債券基金(美元配息),2015-08-13,6.530000
000AMEXIEH,天利(盧森堡)-全球新興市場短期債券基金I(歐元避險),2015-08-12,15.700000
000AMEXIEH,天利(盧森堡)-全球新興市場短期債券基金I(歐元避險),2015-08-13,15.760000
000AMGEMAU,天利(盧森堡)-新興市場公司債券基金(美元),2015-08-12,17.950000
000AMGEMAU,天利(盧森堡)-新興市場公司債券基金(美元),2015-08-13,18.010000
000AMGEMAUE,天利(盧森堡)-新興市場公司債券基金(歐元),2015-08-12,16.040000
000AMGEMAUE,天利(盧森堡)-新興市場公司債券基金(歐元),2015-08-13,16.180000
000AMGEMAUEH,天利(盧森堡)-新興市場公司債券(歐元避險),2015-08-12,19.030000
000AMGEMAUEH,天利(盧森堡)-新興市場公司債券(歐元避險),2015-08-13,19.090000
000AMGEMAUEP,天利(盧森堡)-新興市場公司債券(歐元避險配息),2015-08-12,14.710000
000AMGEMAUEP,天利(盧森堡)-新興市場公司債券(歐元避險配息),2015-08-13,14.760000
000AMGEMAUUP,天利(盧森堡)-新興市場公司債券(美元配息),2015-08-12,8.430000
000AMGEMAUUP,天利(盧森堡)-新興市場公司債券(美元配息),2015-08-13,8.460000
000AMUSIEH,天利(盧森堡)-北美基金I(歐元避險),2015-08-12,35.230000
