
類型代號	公司代號	公司名稱	基金統編	基金名稱	幣別	淨值	前一日淨值	漲跌
AA1	A0001	兆豐國際投信	00965469	兆豐國際第一基金	TWD	12.37	12.37	0
AB1	A0001	兆豐國際投信	00971976	兆豐國際萬全基金	TWD	16.45	16.44	0.01
AA2	A0001	兆豐國際投信	00992769	兆豐國際全球基金	TWD	31.9	32.01	-0.11
AA1	A0001	兆豐國際投信	01050148	兆豐國際國民基金	TWD	22.94	23.01	-0.07
AA1	A0001	兆豐國際投信	10341837	兆豐國際豐台灣基金	TWD	28.05	28.13	-0.08
AA2	A0001	兆豐國際投信	14699772	兆豐國際生命科學基金	TWD	17.84	17.9	-0.06
AD1	A0001	兆豐國際投信	18044796	兆豐國際寶鑽貨幣市場基金	TWD	12.2891	12.2889	0.0002
AA2	A0001	兆豐國際投信	25637773	兆豐國際綠鑽基金	TWD	8.54	8.61	-0.07
AA2	A0001	兆豐國際投信	26278352	兆豐國際全球高股息基金	TWD	9.94	9.99	-0.05
AA2	A0001	兆豐國際投信	26299315	兆豐國際民生動力基金	TWD	10.06	10.05	0.01
AE22	A0001	兆豐國際投信	31829638A	兆豐國際全球債券組合基金A(累積型)	TWD	10.51	10.5	0.01
AE22	A0001	兆豐國際投信	31829638B	兆豐國際全球債券組合基金B(月配型)	TWD	10.48	10.47	0.01
AC23	A0001	兆豐國際投信	31923107A	兆豐國際新興市場高收益債券基金A(累積型)	TWD	10.0186	10.0216	-0.003
AC23	A0001	兆豐國際投信	31923107B	兆豐國際新興市場高收益債券基金B(月配型)	TWD	9.3263	9.3292	-0.0029
AD2	A0001	兆豐國際投信	38522710	兆豐國際人民幣貨幣市場基金	CNY	10.1419	10.1412	0.0007
AA1	A0001	兆豐國際投信	73991751	兆豐國際電子基金	TWD	20.31	20.27	0.04
AA1	A0001	兆豐國際投信	81584996	兆豐國際中小基金	TWD	12.61	12.57	0.04
AD1	A0003	第一金投信	01032249	第一金全家福貨幣市場基金	TWD	174.994	174.991	0.003
AA2	A0003	第一金投信	10338642	第一金全球大趨勢基金	TWD	17.34	17.48	-0.14
AA1	A0003	第一金投信	15739619	第一金大中華基金	TWD	19.54	19.52	0.02
AA2	A0003	第一金投信	17612378	第一金亞洲科技基金	TWD	14.43	14.58	-0.15
AA1	A0003	第一金投信	19341318	第一金電子基金	TWD	25.61	25.51	0.1
AD1	A0003	第一金投信	20081472	第一金台灣貨幣市場基金	TWD	14.9946	14.9944	0.0002
AA1	A0003	第一金投信	20092528	第一金店頭市場基金	TWD	7.6	7.56	0.04
AC23	A0003	第一金投信	25593418A	第一金全球高收益債券基金A	TWD	14.4375	14.435	0.0025
AC23	A0003	第一金投信	25593418B	第一金全球高收益債券基金B	TWD	10.9108	10.9089	0.0019
AC23	A0003	第一金投信	25593418C	第一金全球高收益債券基金A-美元	USD	9.7552	9.7469	0.0083
AC23	A0003	第一金投信	25593418D	第一金全球高收益債券基金B-美元	USD	9.7552	9.7469	0.0083
AA2	A0003	第一金投信	25652648	第一金亞洲新興市場基金	TWD	10.75	10.85	-0.1
AA1	A0003	第一金投信	26202396	第一金創新趨勢基金	TWD	13.73	13.64	0.09
AC21	A0003	第一金投信	26297013A	第一金新興市場投資等級債券基金A	TWD	9.3155	9.3044	0.0111
AC21	A0003	第一金投信	26297013B	第一金新興市場投資等級債券基金B	TWD	7.8359	7.8266	0.0093
AC21	A0003	第一金投信	31887361A	第一金全球企業社會責任投資等級債券基金A	TWD	10.0755	10.0971	-0.0216
AC21	A0003	第一金投信	31887361B	第一金全球企業社會責任投資等級債券基金B	TWD	9.4032	9.4233	-0.0201
AA2	A0003	第一金投信	31909908	第一金全球資源基金	TWD	9.91	10.02	-0.11
AB2	A0003	第一金投信	38539992A	第一金全球多重資產入息平衡基金(累積型)	TWD	9.8834	9.9027	-0.0193
AB2	A0003	第一金投信	38539992B	第一金全球多重資產入息平衡基金(配息型)	TWD	9.8834	9.9027	-0.0193
AG	A0003	第一金投信	48892846A	第一金全球不動產證券化基金A	TWD	7.1751	7.2291	-0.054
AG	A0003	第一金投信	48892846B	第一金全球不動產證券化基金B	TWD	5.6829	5.7256	-0.0427
AA1	A0003	第一金投信	73989002	第一金小型精選基金	TWD	24.48	24.41	0.07
AB1	A0003	第一金投信	99353151	第一金中概平衡基金	TWD	19.65	19.57	0.08
AB1	A0004	匯豐中華投信	00971080	匯豐安富基金	TWD	22.29	22.3	-0.01
AA1	A0004	匯豐中華投信	01031298	匯豐龍鳳基金	TWD	40.56	40.58	-0.02
AE22	A0004	匯豐中華投信	25617919	匯豐雙高收益債券組合基金	TWD	11.9313	11.9194	0.0119
AA2	A0004	匯豐中華投信	25651866	匯豐黃金及礦業股票型基金	TWD	5.12	5.11	0.01
AC21	A0004	匯豐中華投信	25695077A	匯豐資源豐富國家債券基金-累積型	TWD	9.7537	9.7088	0.0449
AC21	A0004	匯豐中華投信	25695077B	匯豐資源豐富國家債券基金-月配型	TWD	7.4718	7.4267	0.0451
AA2	A0004	匯豐中華投信	26335699	匯豐拉丁美洲基金	TWD	8.84	8.82	0.02
AE22	A0004	匯豐中華投信	48745129	匯豐五福全球債券組合基金	TWD	12.8077	12.8083	-0.0006
AA2	A0004	匯豐中華投信	48784327	匯豐新鑽動力基金	TWD	9.47	9.51	-0.04
AE21	A0004	匯豐中華投信	48865209	匯豐全球趨勢組合基金	TWD	10.19	10.24	-0.05
AA2	A0004	匯豐中華投信	48925001	匯豐全球關鍵資源基金	TWD	8.06	8.14	-0.08
AA1	A0004	匯豐中華投信	73987671	匯豐台灣精典基金	TWD	19.22	19.23	-0.01
AA1	A0004	匯豐中華投信	76941376	匯豐成功基金	TWD	31.46	31.62	-0.16
AA1	A0004	匯豐中華投信	92017794	匯豐龍騰電子基金	TWD	27.35	27.27	0.08
AD1	A0004	匯豐中華投信	92025871	匯豐富泰貨幣市場基金	TWD	15.6852	15.685	0.0002
AD1	A0004	匯豐中華投信	97993027	匯豐富泰二號貨幣市場基金	TWD	14.8458	14.8456	0.0002
AA1	A0004	匯豐中華投信	97995664	匯豐中小基金	TWD	8.31	8.29	0.02
AA1	A0005	元大寶來投信	00974066	元大寶來2001基金	TWD	48.66	48.58	0.08
AA1	A0005	元大寶來投信	01032058	元大寶來多福基金	TWD	50.11	50.01	0.1
AH1	A0005	元大寶來投信	10342511	元大寶來新台灣基金	TWD	31.37	31.52	-0.15
AA2	A0005	元大寶來投信	10348058	元大寶來全球農業商機基金	TWD	16.19	16.28	-0.09
AD1	A0005	元大寶來投信	13530495	元大寶來得寶貨幣市場基金	TWD	11.7951	11.795	0.0001
AA1	A0005	元大寶來投信	14542287	元大寶來精準中小基金	TWD	17.34	17.3	0.04
AA2	A0005	元大寶來投信	14696466	元大寶來全球成長基金	TWD	17.3	17.37	-0.07
AA1	A0005	元大寶來投信	17139204	元大寶來新主流基金	TWD	18.67	18.65	0.02
AA1	A0005	元大寶來投信	18036281	元大寶來巴菲特基金	TWD	21.25	21.3	-0.05
AA1	A0005	元大寶來投信	20080023	元大寶來店頭基金	TWD	7.33	7.3	0.03
AD1	A0005	元大寶來投信	20081331	元大寶來萬泰貨幣市場基金	TWD	14.8691	14.8689	0.0002
