類型代號	公司代號	公司名稱	受益憑證代號	基金統編	基金名稱	幣別	淨值	前一日淨值	漲跌
AA1	A0001	兆豐國際投信	T0102Y	00965469	兆豐國際第一基金	TWD	11.76	11.75	0.01
AB1	A0001	兆豐國際投信	T0105Y	00971976	兆豐國際萬全基金	TWD	15.96	15.94	0.02
AA2	A0001	兆豐國際投信	T0104Y	00992769	兆豐國際全球基金	TWD	30.68	30.59	0.09
AA1	A0001	兆豐國際投信	T0103Y	01050148	兆豐國際國民基金	TWD	21.72	21.89	-0.17
AA1	A0001	兆豐國際投信	T0110Y	10341837	兆豐國際豐台灣基金	TWD	26.32	26.55	-0.23
AA2	A0001	兆豐國際投信	T0109Y	14699772	兆豐國際生命科學基金	TWD	16.95	16.8	0.15
AD1	A0001	兆豐國際投信	T0101Y	18044796	兆豐國際寶鑽貨幣市場基金	TWD	12.2918	12.2916	0.0002
AA2	A0001	兆豐國際投信	T0112Y	25637773	兆豐國際綠鑽基金	TWD	8.17	8.15	0.02
AA2	A0001	兆豐國際投信	T0114Y	26278352	兆豐國際全球高股息基金	TWD	9.44	9.47	-0.03
AA2	A0001	兆豐國際投信	T0115Y	26299315	兆豐國際民生動力基金	TWD	9.9	9.86	0.04
AE22	A0001	兆豐國際投信	T0116A	31829638A	兆豐國際全球債券組合基金A(累積型)	TWD	10.41	10.44	-0.03
AE22	A0001	兆豐國際投信	T0116Y	31829638B	兆豐國際全球債券組合基金B(月配型)	TWD	10.38	10.41	-0.03
AC23	A0001	兆豐國際投信	T0007A	31923107A	兆豐國際新興市場高收益債券基金A(累積型)	TWD	9.9063	9.9559	-0.0496
AC23	A0001	兆豐國際投信	T0117B	31923107B	兆豐國際新興市場高收益債券基金B(月配型)	TWD	9.2218	9.268	-0.0462
AD2	A0001	兆豐國際投信	T0118Y	38522710	兆豐國際人民幣貨幣市場基金	CNY	10.152	10.1513	0.0007
AA2	A0001	兆豐國際投信	T0119A	38592074A	兆豐國際中國A股基金(台幣)	TWD	10.03	10.08	-0.05
AA2	A0001	兆豐國際投信	T0119B	38592074B	兆豐國際中國A股基金(美金)	USD	9.92	9.97	-0.05
AA1	A0001	兆豐國際投信	T0108Y	73991751	兆豐國際電子基金	TWD	19.36	19.3	0.06
AA1	A0001	兆豐國際投信	T0107Y	81584996	兆豐國際中小基金	TWD	11.84	11.85	-0.01
AD1	A0003	第一金投信	T0306Y	01032249	第一金全家福貨幣市場基金	TWD	175.029	175.026	0.003
AA2	A0003	第一金投信	T0331Y	10338642	第一金全球大趨勢基金	TWD	16.45	16.5	-0.05
AA1	A0003	第一金投信	T0318Y	15739619	第一金大中華基金	TWD	18.55	18.47	0.08
AA2	A0003	第一金投信	T0316Y	17612378	第一金亞洲科技基金	TWD	13.89	13.93	-0.04
AA1	A0003	第一金投信	T0314Y	19341318	第一金電子基金	TWD	24.02	23.91	0.11
AD1	A0003	第一金投信	T0310Y	20081472	第一金台灣貨幣市場基金	TWD	14.9977	14.9975	0.0002
AA1	A0003	第一金投信	T0311Y	20092528	第一金店頭市場基金	TWD	7.07	7.03	0.04
AC23	A0003	第一金投信	T0332A	25593418A	第一金全球高收益債券基金A	TWD	14.2586	14.2541	0.0045
AC23	A0003	第一金投信	T0332B	25593418B	第一金全球高收益債券基金B	TWD	10.7243	10.7209	0.0034
AC23	A0003	第一金投信	T0332C	25593418C	第一金全球高收益債券基金A-美元	USD	9.6387	9.6358	0.0029
AC23	A0003	第一金投信	T0332D	25593418D	第一金全球高收益債券基金B-美元	USD	9.5992	9.5963	0.0029
AA2	A0003	第一金投信	T0334Y	25620512A	第一金中國世紀基金	TWD	7.9	8.02	-0.12
AA2	A0003	第一金投信	T0334A	25620512B	第一金中國世紀基金-人民幣	CNY	9.74	9.86	-0.12
AA2	A0003	第一金投信	T0335Y	25652648	第一金亞洲新興市場基金	TWD	10.46	10.58	-0.12
AA1	A0003	第一金投信	T0336Y	26202396	第一金創新趨勢基金	TWD	12.94	12.86	0.08
AC21	A0003	第一金投信	T0337A	26297013A	第一金新興市場投資等級債券基金A	TWD	9.3292	9.3457	-0.0165
AC21	A0003	第一金投信	T0337B	26297013B	第一金新興市場投資等級債券基金B	TWD	7.8046	7.8185	-0.0139
AC21	A0003	第一金投信	T0341A	31887361A	第一金全球企業社會責任投資等級債券基金A	TWD	10.0892	10.1297	-0.0405
AC21	A0003	第一金投信	T0341B	31887361B	第一金全球企業社會責任投資等級債券基金B	TWD	9.386	9.4236	-0.0376
AA2	A0003	第一金投信	T0342Y	31909908	第一金全球資源基金	TWD	9.27	9.18	0.09
AB2	A0003	第一金投信	T0343A	38539992A	第一金全球多重資產入息平衡基金(累積型)	TWD	9.7471	9.777	-0.0299
AB2	A0003	第一金投信	T0343B	38539992B	第一金全球多重資產入息平衡基金(配息型)	TWD	9.7471	9.777	-0.0299
AG	A0003	第一金投信	T0326A	48892846A	第一金全球不動產證券化基金A	TWD	7.2003	7.1934	0.0069
AG	A0003	第一金投信	T0326B	48892846B	第一金全球不動產證券化基金B	TWD	5.7028	5.6974	0.0054
AA1	A0003	第一金投信	T0313Y	73989002	第一金小型精選基金	TWD	22.94	22.86	0.08
AB1	A0003	第一金投信	T0320Y	99353151	第一金中概平衡基金	TWD	18.89	18.84	0.05
AB1	A0004	匯豐中華投信	T0405Y	00971080	匯豐安富基金	TWD	21.79	21.81	-0.02
AA1	A0004	匯豐中華投信	T0408Y	01031298	匯豐龍鳳基金	TWD	38.98	39.07	-0.09
AA2	A0004	匯豐中華投信	T0417Y	18031954	匯豐太平洋精典基金	TWD	13.39	13.55	-0.16
AA2	A0004	匯豐中華投信	T0436Y	25500903	匯豐中國動力基金	TWD	12.36	12.47	-0.11
AE22	A0004	匯豐中華投信	T0438Y	25617919	匯豐雙高收益債券組合基金	TWD	11.8811	11.9122	-0.0311
AA2	A0004	匯豐中華投信	T0439Y	25651866	匯豐黃金及礦業股票型基金	TWD	5.07	5.06	0.01
AC21	A0004	匯豐中華投信	T0440A	25695077A	匯豐資源豐富國家債券基金-累積型	TWD	9.8309	9.8415	-0.0106
AC21	A0004	匯豐中華投信	T0440B	25695077B	匯豐資源豐富國家債券基金-月配型	TWD	7.5502	7.5608	-0.0106
AC23	A0004	匯豐中華投信	T0443A	26286281A	匯豐亞洲高收益債券基金-累積型	TWD	11.3383	11.3666	-0.0283
AC23	A0004	匯豐中華投信	T0443B	26286281B	匯豐亞洲高收益債券基金-月配型	TWD	9.444	9.4722	-0.0282
AA2	A0004	匯豐中華投信	T0447Y	26335699	匯豐拉丁美洲基金	TWD	8.79	8.98	-0.19
AC23	A0004	匯豐中華投信	T0449Y	26396604A	匯豐中國點心高收益債券基金(台幣不配息)	TWD	11.2497	11.2702	-0.0205
AC23	A0004	匯豐中華投信	T0449A	26396604B	匯豐中國點心高收益債券基金(人民幣不配息)	CNY	2.3207	2.326	-0.0053
AC23	A0004	匯豐中華投信	T0449B	26396604C	匯豐中國點心高收益債券基金(人民幣配息)	CNY	2.2129	2.2179	-0.005
AC23	A0004	匯豐中華投信	T0449C	26396604D	匯豐中國點心高收益債券基金(台幣配息)	TWD	10.9539	10.9739	-0.02
AC23	A0004	匯豐中華投信	T0449D	26396604E	匯豐中國點心高收益債券基金(美元不配息)	USD	0.3771	0.3785	-0.0014
AC23	A0004	匯豐中華投信	T0449E	26396604F	匯豐中國點心高收益債券基金(美元配息)	USD	0.3671	0.3685	-0.0014
AA2	A0004	匯豐中華投信	T0453Y	38482745	匯豐中國A股匯聚基金	TWD	10.26	10.36	-0.1
AA2	A0004	匯豐中華投信	T0425Y	48686374	匯豐金磚動力基金	TWD	11.83	12.06	-0.23
AE22	A0004	匯豐中華投信	T0427Y	48745129	匯豐五福全球債券組合基金	TWD	12.8248	12.8649	-0.0401
AA2	A0004	匯豐中華投信	T0428Y	48784327	匯豐新鑽動力基金	TWD	9.3	9.42	-0.12
AE21	A0004	匯豐中華投信	T0429Y	48865209	匯豐全球趨勢組合基金	TWD	9.75	9.78	-0.03
AA2	A0004	匯豐中華投信	T0431Y	48925001	匯豐全球關鍵資源基金	TWD	7.58	7.55	0.03
AA1	A0004	匯豐中華投信	T0415Y	73987671	匯豐台灣精典基金	TWD	18.48	18.52	-0.04
AA1	A0004	匯豐中華投信	T0406Y	76941376	匯豐成功基金	TWD	30.24	30.32	-0.08
AA1	A0004	匯豐中華投信	T0410Y	92017794	匯豐龍騰電子基金	TWD	26.21	26.12	0.09
AD1	A0004	匯豐中華投信	T0411Y	92025871	匯豐富泰貨幣市場基金	TWD	15.6877	15.6875	0.0002
AD1	A0004	匯豐中華投信	T0413Y	97993027	匯豐富泰二號貨幣市場基金	TWD	14.8482	14.8481	0.0001
AA1	A0004	匯豐中華投信	T0414Y	97995664	匯豐中小基金	TWD	7.87	7.84	0.03
AA1	A0005	元大寶來投信	T0567Y	00974066	元大寶來2001基金	TWD	46.4	46.23	0.17
AA1	A0005	元大寶來投信	T0502Y	01032058	元大寶來多福基金	TWD	47.6	47.35	0.25
AH1	A0005	元大寶來投信	0060	10342511	元大寶來新台灣基金	TWD	30.5	30.66	-0.16
AA2	A0005	元大寶來投信	T0553Y	10348058	元大寶來全球農業商機基金	TWD	15.58	15.69	-0.11
AD1	A0005	元大寶來投信	T0571Y	13530495	元大寶來得寶貨幣市場基金	TWD	11.7975	11.7974	0.0001
AA1	A0005	元大寶來投信	T0572Y	14542287	元大寶來精準中小基金	TWD	16.47	16.44	0.03
AA2	A0005	元大寶來投信	T0519Y	14696466	元大寶來全球成長基金	TWD	16.52	16.45	0.07
AA1	A0005	元大寶來投信	T0513Y	17139204	元大寶來新主流基金	TWD	17.7	17.65	0.05
AA1	A0005	元大寶來投信	T0516Y	18036281	元大寶來巴菲特基金	TWD	20.24	20.32	-0.08
AA1	A0005	元大寶來投信	T0506Y	20080023	元大寶來店頭基金	TWD	6.83	6.8	0.03
AD1	A0005	元大寶來投信	T0507Y	20081331	元大寶來萬泰貨幣市場基金	TWD	14.8722	14.872	0.0002
AG	A0005	元大寶來投信	T0576A	21718388A	元大寶來全球不動產證券化基金(A)-不配息型	TWD	10.92	11.02	-0.1
AG	A0005	元大寶來投信	T0576B	21718388B	元大寶來全球不動產證券化基金(B)-配息型	TWD	8.2	8.28	-0.08
AA2	A0005	元大寶來投信	T0556Y	25520400	元大寶來新中國基金	TWD	7.55	7.58	-0.03
AI2	A0005	元大寶來投信	T0581Y	25591306	元大寶來大中華價值指數基金	TWD	13.82	13.945	-0.125
AH2	A0005	元大寶來投信	0061	25610486	元大寶來標智滬深300基金	TWD	12.97	13.05	-0.08
AA2	A0005	元大寶來投信	T0557Y	25622390	元大寶來印度基金	TWD	9.37	9.59	-0.22
AE22	A0005	元大寶來投信	T0583A	25638920A	元大寶來全球靈活配置債券組合基金(A)-不配息型	TWD	10.79	10.79	0
AE22	A0005	元大寶來投信	T0583B	25638920B	元大寶來全球靈活配置債券組合基金(B)-配息型	TWD	10.74	10.74	0
AA2	A0005	元大寶來投信	T0558Y	25643156	元大寶來新興亞洲基金	TWD	8.78	8.83	-0.05
AI2	A0005	元大寶來投信	T0586Y	26203825	元大寶來印度指數基金	TWD	8.683	8.87	-0.187
AI2	A0005	元大寶來投信	T0587Y	26203846	元大寶來印尼指數基金	TWD	8.854	8.899	-0.045
AI2	A0005	元大寶來投信	T0585Y	26203851	元大寶來巴西指數基金	TWD	6.311	6.544	-0.233
AA2	A0005	元大寶來投信	T0560Y	26206323	元大寶來華夏中小基金	TWD	6.7	6.73	-0.03
AH1	A0005	元大寶來投信	006201	26282102	元大寶來富櫃50基金	TWD	11.76	11.78	-0.02
AE22	A0005	元大寶來投信	T0561A	26283518A	元大寶來新興市場債券組合基金-不配息型	TWD	10.7247	10.7633	-0.0386
AE22	A0005	元大寶來投信	T0561B	26283518B	元大寶來新興市場債券組合基金-配息型	TWD	9.5163	9.5506	-0.0343
AC21	A0005	元大寶來投信	T0588A	26297576A	元大寶來全球國富債券基金(A)-不配息型	TWD	8.4452	8.4774	-0.0322
AC21	A0005	元大寶來投信	T0588B	26297576B	元大寶來全球國富債券基金(B)-配息型	TWD	6.7658	6.7916	-0.0258
AH1	A0005	元大寶來投信	006203	26306553	元大寶來摩臺基金	TWD	30.59	30.66	-0.07
AI1	A0005	元大寶來投信	T0564Y	26307568	元大寶來台股指數基金	TWD	10.087	10.11	-0.023
AA2	A0005	元大寶來投信	T0589Y	26326707	元大寶來新興市場ESG策略基金	TWD	11.72	11.79	-0.07
AC23	A0005	元大寶來投信	T0566Y	26394367	元大寶來中國高收益點心債券基金	TWD	11.0247	11.0409	-0.0162
AB2	A0005	元大寶來投信	T0591Y	31830473A	元大寶來中國平衡基金-新台幣	TWD	10.17	10.24	-0.07
AB2	A0005	元大寶來投信	T0591A	31830473B	元大寶來中國平衡基金-人民幣	CNY	2.06	2.07	-0.01
AH2	A0005	元大寶來投信	006206	31830488	元大寶來上證50基金	TWD	19.1	19.15	-0.05
AI2	A0005	元大寶來投信	T0593A	31931789A	元大寶來亞太政府公債指數基金(A)-不配息型	TWD	9.0098	9.0061	0.0037
AI2	A0005	元大寶來投信	T0593B	31931789B	元大寶來亞太政府公債指數基金(B)-配息型	TWD	8.4946	8.4911	0.0035
AC21	A0005	元大寶來投信	T0594A	38546950A	元大寶來中國機會債券基金-新台幣	TWD	10.3409	10.3568	-0.0159
AC21	A0005	元大寶來投信	T0594B	38546950B	元大寶來中國機會債券基金-人民幣(A)不配息	CNY	10.051	10.0526	-0.0016
AC21	A0005	元大寶來投信	T0594C	38546950C	元大寶來中國機會債券基金-人民幣(B)配息	CNY	10.021	10.0226	-0.0016
AD2	A0005	元大寶來投信	T0595A	38546966A	元大寶來人民幣貨幣市場基金-新台幣	TWD	10.3577	10.3714	-0.0137
AD2	A0005	元大寶來投信	T0595B	38546966B	元大寶來人民幣貨幣市場基金-人民幣	CNY	10.0761	10.0754	0.0007
AA2	A0005	元大寶來投信	T0537Y	48708243	元大寶來亞太成長基金	TWD	9.94	9.97	-0.03
AA2	A0005	元大寶來投信	T0538Y	48753324	元大寶來泛歐成長基金	TWD	8.33	8.3	0.03
AE21	A0005	元大寶來投信	T0577Y	48760113	元大寶來全球新興市場精選組合基金	TWD	12.36	12.48	-0.12
AH1	A0005	元大寶來投信	0051	48772770	元大寶來台灣中型100基金	TWD	28.26	28.3	-0.04
AE21	A0005	元大寶來投信	T0578Y	48789815	元大寶來全球ETF成長組合基金	TWD	9.16	9.19	-0.03
AC22	A0005	元大寶來投信	T0539A	48849362A	元大寶來全球滿意入息基金-不配息型	TWD	10.95	10.94	0.01
AC22	A0005	元大寶來投信	T0539B	48849362B	元大寶來全球滿意入息基金-配息型	TWD	8.25	8.24	0.01
AG	A0005	元大寶來投信	T0542A	48885346A	元大寶來全球地產建設入息基金-不配息型	TWD	8.01	8.01	0
AG	A0005	元大寶來投信	T0542B	48885346B	元大寶來全球地產建設入息基金-配息型	TWD	6.68	6.67	0.01
AH1	A0005	元大寶來投信	0055	48903175	元大寶來台灣金融基金	TWD	14.59	14.71	-0.12
AH1	A0005	元大寶來投信	0054	48903180	元大寶來台商收成基金	TWD	22.1	22.14	-0.04
AH1	A0005	元大寶來投信	0053	48903196	元大寶來台灣電子科技基金	TWD	27.61	27.63	-0.02
AA2	A0005	元大寶來投信	T0546A	48952816A	元大寶來全球公用能源效率基金-不配息型	TWD	7.58	7.59	-0.01
AA2	A0005	元大寶來投信	T0546B	48952816B	元大寶來全球公用能源效率基金-配息型	TWD	6.12	6.12	0
AH1	A0005	元大寶來投信	0056	48966213	元大寶來台灣高股息基金	TWD	23.49	23.61	-0.12
AA1	A0005	元大寶來投信	T0510Y	77537509	元大寶來多元基金	TWD	10.23	10.24	-0.01
AA1	A0005	元大寶來投信	T0508Y	81584335	元大寶來高科技基金	TWD	11.39	11.38	0.01
AA1	A0005	元大寶來投信	T0509Y	83863951	元大寶來經貿基金	TWD	26.67	26.58	0.09
AA1	A0005	元大寶來投信	T0503Y	92001765	元大寶來多多基金	TWD	14.71	14.66	0.05
AA1	A0005	元大寶來投信	T0568Y	92004566	元大寶來績效基金	TWD	33.21	33.08	0.13
AD1	A0005	元大寶來投信	T0569Y	92017204	元大寶來得利貨幣市場基金	TWD	15.9994	15.9991	0.0003
AA1	A0005	元大寶來投信	T0504Y	92026219	元大寶來卓越基金	TWD	37.09	37.08	0.01
AB1	A0005	元大寶來投信	T0518Y	98636553	元大寶來雙盈基金	TWD	22.69	22.7	-0.01
AH1	A0005	元大寶來投信	0050	98764389	元大寶來台灣卓越50基金	TWD	63.9	64.05	-0.15
AI1	A0005	元大寶來投信	T0574Y	99346928	元大寶來台灣加權股價指數基金	TWD	17.495	17.531	-0.036
AE23	A0005	元大寶來投信	T0575Y	99967974	元大寶來全球ETF穩健組合基金	TWD	13.53	13.55	-0.02
AA2	A0006	景順投信	T0609Y	14687516	景順全球康健基金	TWD	15.98	15.99	-0.01
AA1	A0006	景順投信	T0606Y	17140568	景順主流基金	TWD	15.19	15.14	0.05
AB1	A0006	景順投信	T0607Y	17606713	景順平衡基金	TWD	10.64	10.58	0.06
AC21	A0006	景順投信	T0612A	38522556A	景順人民幣新興亞太入息基金累積型新台幣	TWD	10.1873	10.234	-0.0467
AC21	A0006	景順投信	T0612B	38522556B	景順人民幣新興亞太入息基金月配型新台幣	TWD	10.0068	10.0526	-0.0458
AC21	A0006	景順投信	T0612C	38522556C	景順人民幣新興亞太入息基金累積型美元	USD	10.2445	10.288	-0.0435
AC21	A0006	景順投信	T0612D	38522556D	景順人民幣新興亞太入息基金月配型美元	USD	10.0697	10.1125	-0.0428
AC21	A0006	景順投信	T0612E	38522556E	景順人民幣新興亞太入息基金累積型人民幣	CNY	10.1447	10.1724	-0.0277
